price,duration,wait_time
23.23,38.34,8.33
17.37,25.58,1.61
18.72,31.02,1.9
22.57,35.5,3.97
19.39,34.53,16.93
24.73,40.65,1.59
18.49,27.83,8.92
20.93,30.58,2.96
14.16,17.04,3.98
25.3,39.09,5.39
21.25,35.43,3.61
16.99,26.07,1.94
21.36,35.3,6.32
26.67,46.81,4.16
27.7,46.6,4.17
21.83,32.53,4.47
18.42,27.67,3.52
15.11,21.54,1.7
22.7,37.73,2.52
11.2,11.18,1.95
14.95,22.48,11.31
20.48,33.63,2.61
21.9,38.16,7.58
18.83,27.85,2.61
16.91,27.83,2.06
24.05,41.8,5.51
21.31,32.4,1.61
14.39,18.59,9.18
16.59,22.41,2.48
18.62,30.96,2.07
13.54,16.51,4.8
26.05,41.87,2.28
13.69,15.35,13.25
31.08,51.77,4.34
17.78,26.68,8.78
25.29,35.35,8.82
20.32,30.41,8.29
14.22,18.87,6.22
20.58,30.3,1.67
19.77,29.15,3.01
20.33,29.42,3.52
16.59,22.76,2.21
13.48,16.65,4.36
18.2,27.68,2.24
16.42,21.69,1.59
19.93,29.37,4.9
22.14,33.71,1.83
18.28,31.65,1.64
24.11,40.59,2.61
13.91,17.54,8.97
15.99,20.79,2.68
26.03,43.66,11.06
16.13,21.61,2.95
18.73,30.63,11.52
27.66,49.37,1.62
20.22,36.03,5.35
13.09,13.62,2.18
19.39,28.55,5.32
11.67,19.1,2.29
19.72,29.2,3.49
17.89,30.39,3.55
19.57,30.4,1.8
15.99,26.64,4.61
16.54,22.71,9.26
24.67,38.68,3.49
15.89,23.65,3.34
15.19,21.91,4.19
19.81,27.93,9.14
24,40.06,11.7
16.56,24.95,2.06
18.83,24.67,12.96
13.98,19.63,2.41
20.97,35.25,5.42
17.25,23.49,10.54
26.12,45.48,5.15
21.67,37.33,3.92
24.27,40.77,5.84
15.06,23.6,5.19
21.64,37.31,2.35
17.49,26.83,4.34
25.13,35.73,4.69
20.37,32.31,2.85
24.79,44.21,8.54
23.69,39,4.91
17.38,26.7,2.12
14.51,21.74,5.33
32.09,55.7,2.3
23.53,36.14,3.37
25.41,39.99,2.54
19.47,32.81,6.26
27.55,48.89,4.9
13.92,19.05,2.61
20.3,29.55,2.56
20.69,31.6,2.56
24.07,38.99,4.46
11.09,7.86,2.11
16.02,23.88,9.06
14.05,19.76,2.32
18.57,32.37,5.49
22.85,34.22,2.23
