price,duration,wait_time
23.05,39.66,2.17
22.02,33.84,3.37
14.62,23.95,2.42
25.42,40.5,1.93
11.94,14.07,5.13
8.82,5.21,7.23
18.21,25.2,3.77
17.2,25.74,3.31
15.92,24.5,3.71
28.62,50.22,3.17
14.11,18.65,1.92
26.01,46.13,1.83
20.13,32.79,2.15
14.59,23.63,1.97
16.98,24.41,8
17.99,27.38,10.06
19.72,28.39,3.37
11.24,12.78,1.75
8.42,5.26,3.79
20.38,31.76,5.43
19.44,32.96,10.98
21.79,31.52,5.85
20.17,32.86,3.09
16.71,21.72,12.3
13.8,24.47,2.2
14.56,19.17,1.62
21.72,34.36,3.76
15.95,24.36,2.14
19.71,31.02,3.89
19.15,29.36,1.84
15.14,22.1,2.57
18.08,28.48,4.88
23.43,42.06,6.7
19.37,32.35,4.09
16.74,25.59,3.67
21.68,33.52,2.3
16.72,21.81,7.75
20.05,29.09,2.55
28.36,52.74,5.04
22.23,38.78,2.05
17.51,25.33,20
19.05,30.96,1.89
23.1,41.76,3.4
15.4,24.41,8.27
23.18,41.68,7.03
11.29,16.36,1.74
15.1,20.92,12.91
26.5,45.3,10.67
20.86,36.93,1.89
22.68,32.19,2.55
21.76,36.76,7.84
17.81,26.05,12.43
22.58,38.04,3.88
22.85,37.17,2.51
20.29,31.53,5.3
19.41,30.39,4.34
17.13,26.54,5.66
20.14,30.89,1.53
22.23,33.43,1.88
16.85,26.59,5.88
26.31,42.88,2.32
24.21,39.99,3.34
21.85,32.51,1.95
23.56,39.13,5.1
20.65,31.47,2.05
21.01,32.02,5.41
18.33,26.58,4.41
23.91,44.21,14.04
16.65,25.98,3.71
30.35,53.1,9.73
21.15,37.7,4.35
19.88,26.48,8.07
20.8,32.61,15.2
19.65,27.58,1.74
19.34,30.26,4.35
22.8,35.79,4.93
12,12.22,1.79
21.65,30.82,4.55
14.55,18.92,9.52
18.8,26.72,4.11
21,35.01,2.38
17.98,25.76,7.6
16.02,24.29,4.04
19.42,28.88,1.67
14.31,16.74,3.43
17.43,25.25,3.47
16.34,22.61,5.61
19.78,32.61,3.43
14.25,17.04,5.9
16.76,24.69,8.9
17.9,25.94,1.61
15.74,23.43,1.56
21.19,33.95,2.43
15.04,19.48,2.6
12.95,18.52,4.74
20.74,33.79,3.05
14.27,19.15,5.66
16,21.21,1.71
21.17,34.51,6.8
18.98,25.04,1.78
