price,duration,wait_time
24.13,34.07,9.95
18.7,31.6,2.87
8.61,8.66,5.3
24.55,42.35,5.67
21.97,34.62,6.09
16.08,19.91,3.9
12.81,15.03,8.37
18.52,27.65,1.66
13.46,15.98,1.54
19.2,31.49,2.26
19.35,29.37,8.41
22.93,36.36,7.27
26.25,46.96,1.63
23.08,38.37,2.78
9.88,8.54,3.72
9.93,12.34,2.51
24.47,42.62,1.57
21.13,31.87,7.47
17.42,28.93,1.85
25.59,43.33,10.1
12.57,15.75,4.31
14.19,16.77,3.78
14.73,20.22,3.37
23.28,42.88,9.64
23.41,37.49,2.14
23.39,37.16,2.18
18.29,25.98,1.92
23.42,40.27,5.01
15.33,20.36,1.61
23.66,42.62,7.57
9.7,13.31,11.36
20.1,30.68,1.59
22.77,35.86,4.96
18.7,29.09,4.19
23.69,39,4.91
15.47,18.2,6.96
16.93,28.09,5.56
10.46,13.54,2.06
28.02,54.13,2.13
19.02,30.11,4.9
15.88,23.62,7.42
30.63,56.35,2.16
21.93,39.58,1.85
19.44,31.57,2.32
17.67,23.92,4.41
16.38,24.32,4.73
12.06,11.24,10.77
16.61,26.99,7.13
15.78,20.04,2.53
14.29,26.88,4.65
13.17,16.91,2.05
22.38,35.37,1.5
21.97,36.92,2.82
19.86,30.87,1.73
14.98,17.46,4.89
22.11,33.87,8.21
13.93,16.32,4.44
19.95,33.22,3.73
21.83,35.18,3.71
16.77,21.5,1.75
28.06,45.4,7.62
20.33,32.35,3.05
12.9,12.46,3.41
24.48,39.67,5.13
27.15,43.99,4.16
9.9,12.18,2.33
13.91,20.25,2.88
12.02,16.36,2.94
13.17,13.93,2.23
25.95,43.21,19.25
30.29,49.81,9.97
27.08,46.41,4.78
16.72,19.8,3.85
13.91,18.53,3.99
25.9,41.98,5.1
16.9,22,2.74
10.69,11.63,2.19
24.63,39.95,2.67
15.73,25.63,1.64
14.04,23.31,5.96
25.61,41.68,1.82
19.89,28.61,1.54
16.24,21.97,1.57
20.93,36.95,10.42
18.48,26.36,3.75
21.78,37.79,6.35
17.53,22.67,6.89
18.33,27.42,3.69
20.87,33.18,14.26
18.7,29.91,12.2
17.71,27.7,1.96
12.25,15.1,7.83
17.81,25.24,2.25
15.56,15.69,2.08
18.9,33.38,4.17
22.78,35.63,2.8
19.27,28.57,5.34
24.48,42.09,3.47
16.89,27.42,3.29
18.57,29.69,2.86
