price,duration,wait_time
18.19,21.65,11.33
18.09,26.26,1.68
18.03,22.38,1.51
27.02,45.78,4.61
29.24,50.45,1.63
20.53,29.54,5.25
20.87,31.87,2.84
12.01,13.95,3.84
19.12,29.23,1.55
22.41,34.73,5.41
25.41,43.52,4.34
25.24,45.27,10.61
23.26,38.07,4.83
22.12,38.86,1.87
15.6,22.19,2.44
18.44,25.28,3.44
14.99,20.36,1.59
17.22,23.81,8.33
14.85,18.57,11.18
17.54,28.35,8.2
13.04,16.09,6.62
17.64,27.7,4.64
9.67,10.53,8.47
20.41,32.92,3.2
19.33,31.11,7.78
14.9,21.88,2.71
15.77,22.09,1.53
10.78,10.87,3.62
14.46,22.75,5.49
25.76,44.81,2.87
16.83,30.03,2.87
22.62,40.66,3.41
28.45,50,4.52
17.72,29.06,10.69
20.2,30.27,18.84
21.54,31.2,5.28
15.28,18.83,2.56
22.4,35.52,5.33
20.57,30.44,4.6
9.49,7.07,2.18
23.98,40.54,6.56
21.64,32.54,1.55
18.66,26.39,3.3
22.64,35.27,5.36
23.78,39.8,5.13
17.6,28.28,1.9
18.9,26.21,5.06
21.56,35.19,1.83
17.07,24.1,2.38
23.79,36.51,5.86
20.12,33.12,2
21.83,35.06,2
22.08,33.04,2.81
14.06,19.89,2.45
24.05,39.07,9.9
18.01,29.04,3.2
18.63,26.42,2.04
20.04,29.5,1.85
19.19,30,3.93
14.03,18.5,1.87
17.66,25.51,2.94
15.35,20.04,8.35
13.26,19.72,1.54
13.17,14.95,1.96
22.52,37.08,4.71
26.11,44.52,4.02
16.17,23.08,7.26
17.14,26.9,1.9
14.82,17.27,2.63
17.84,24.54,5.81
20.99,32.68,1.79
16.84,26.49,3.83
13.24,15.48,2.92
17.73,31.01,12.81
23.69,39.96,3.86
21.2,33.13,1.97
14.2,18.08,2.94
25.35,40.16,5.44
18.33,25.49,1.52
30.87,54.58,5.03
22.66,40.98,2.38
20.67,35.35,10.09
19.46,29.77,4.92
16.14,25.23,2.96
10.1,15.22,2.37
21.69,33.45,5.51
13.36,19.67,8.67
19.38,31.4,6.23
18.79,29.71,6.51
19.36,30.42,2.44
18.05,26.76,2.65
22.37,37.92,1.6
19.04,29.59,1.67
30.13,53.17,3.26
22.18,35.09,5.31
20.88,34.31,6.39
18.54,27.07,2.09
15.8,23.17,10.91
14.81,19.69,3.77
21.19,34.85,3.73
