price,duration,wait_time
13.22,17.99,1.7
23.71,37.69,4.17
17.66,25.03,1.55
18.12,25.13,1.91
19.6,33.18,4.83
19.55,31.43,8.25
24.96,41.9,2.98
16.58,26.1,2.56
24.03,42.39,10.93
17.13,24.6,3.93
14.59,14.68,2.1
14.95,21.1,3.23
11.42,12.26,6.22
17.1,28.17,3.12
13.24,19.16,6.64
27.19,44.23,8.07
15.54,21.57,2.53
19.05,24.34,1.58
15.23,18.86,2.83
24.36,43.98,4.21
22.93,39.76,5.97
16.76,22.21,8.5
16.52,27.86,5.42
19.84,33.85,2.65
23.93,37.28,3.42
16.75,20.87,8.87
20.81,32.54,5.37
20.73,32.08,5.57
23.29,38.41,1.71
27.88,47.24,5.93
23.94,39.81,2.33
22.49,39.38,4.01
21.19,33.02,9.15
18.53,27.95,2.43
17.45,29.4,3.95
29.34,50.62,2.6
23.02,34.61,2.42
22.87,36.43,1.65
27.45,46.15,15.7
18.7,31.46,7.97
23.26,39.08,4.45
24.24,40.54,1.89
27.23,45.03,3.9
26.32,48.67,5.36
15.91,27.51,11.09
17.52,30.32,6.65
19.26,26.79,3.27
12.92,12.12,2.45
17.12,24.57,11.55
19.45,32.57,1.52
20.29,29.68,10.17
19.68,33.9,4.79
18.28,26.7,1.88
20.97,34.82,5.87
19.04,28.49,3.41
18.01,26.28,4.62
20.96,32.31,4.33
24,38.62,5.77
18.02,24,3.52
29.73,52.54,1.87
18.17,26.5,3.52
26.18,45.16,1.97
11.67,10.23,3.32
19.28,29.92,11.13
13.06,21.02,1.97
22.17,34.79,5.53
19.45,29.84,4.15
25.18,43.39,1.77
25.57,44.76,2.61
17.16,25.86,2.47
17.95,24.28,4.97
20.68,32.17,5.26
16.53,21.78,1.97
15.94,24.47,2.11
15.09,15.1,2.48
16.47,26.13,3.2
20.83,37.99,9.1
14.95,21.83,5.39
18.66,26.28,2.67
23.48,39.13,2.1
22.13,33.91,1.82
13.15,18.21,1.8
15.93,22.94,8.57
19.61,30.65,2.77
20.07,31.36,2.66
21.42,34.07,2.22
17.59,25.67,1.62
16.28,24.88,2.28
16.07,22.57,5.13
19.13,26.69,6.12
18.08,26.14,3.74
25.85,43.79,6.39
20.39,30.89,1.95
17.96,28.45,1.85
17.86,25.06,3.07
26.69,48.34,3.41
11.24,12.78,1.75
24.56,41.95,3.99
18.91,28.01,2.18
11.68,9.97,10.53
