price,duration,wait_time
21.72,34.07,3.33
16.29,29.88,3.84
20.49,32.25,7.97
14.85,19.72,1.79
16.34,26.29,10.62
14.82,19.44,5.41
17.97,26.73,20.76
21.39,35.98,2.36
22.59,30.98,2.75
19.71,27.01,8.8
26.03,46.16,1.6
33.3,54.33,4.51
20.3,32.6,2.72
24,35.72,1.7
20.09,30.83,1.63
20.49,29.54,7.68
15.94,23.12,6.56
16.09,22.33,4.08
24.46,47.21,2.29
23.5,39.31,5.34
28.03,47,5.52
28.64,44.56,2.17
18.93,29.67,2.66
18.88,28.23,5.66
15.25,18.74,2.07
28.89,51.65,2.52
17.26,25.62,7.29
18.96,23.09,1.8
12.86,19.51,3.71
13.78,14.45,4.21
22.3,34.85,5.23
22.08,36.03,2.75
22.23,33.44,1.98
18.48,24.33,8.26
17.73,24.7,2.12
25.03,42,5.48
24.62,44.51,2.41
24.2,38.29,3.75
22.35,34.93,3.47
21.67,35.83,6.26
17.09,23.41,2.29
17.93,25.99,4.63
19.2,29.63,4.45
18.64,26.99,6.09
13.82,18.65,12.29
20.01,30.25,2.74
10.14,9.69,1.95
23.32,39.69,3.07
22.16,36.49,2.12
16.07,25.5,3.42
26.67,42.14,2.4
18.42,28.93,4.22
19.14,31.17,10.42
24.13,43.18,4.63
12.23,9.31,4.85
21.33,34.63,6.09
18.19,25.27,4.95
16.79,30.06,1.62
24.18,41.01,3.51
21.75,34.74,2.83
15.03,25.46,3.5
19.81,33.06,4.33
16.74,23.87,14.71
16.9,26.81,3.85
15.78,23.69,2.86
19.22,27.59,21.63
22.18,34.07,5.54
18.71,27.36,7.99
17.13,29.12,5.79
21.38,29.06,4.75
22.61,38.33,6.36
23.26,37.86,3.99
17.94,30.95,3.56
25.79,46.51,6.37
21.07,32.06,3.97
18.8,25.09,2.08
19.27,29.17,3.95
16.85,26.22,7.13
19.79,30.8,6.59
29.43,48.89,3.22
18.11,24.44,4.65
21.81,39.08,28.43
21.05,30.3,2.15
12.04,15.69,6.51
13.22,16.62,5.21
8.44,8.92,8.25
21.96,30.79,1.85
15.79,22.31,3.58
16.65,27.11,4.42
21.35,35.82,2.24
21.62,33.06,4.43
23.23,39.18,4.67
15.24,20.5,3.93
23.37,37.4,6.7
16.34,23.03,5.21
14.51,21.74,5.33
22.49,34.08,1.69
11.33,14.43,2.12
17.89,25.62,7.16
22.82,38.63,8.31
