price,duration,wait_time
25.05,46.94,1.51
18.48,28.38,1.81
29.41,52.37,4.39
26.73,45.94,1.61
16.83,25.07,2.27
26.54,41,10.27
30.48,50.68,13.43
21.69,31.29,2.71
15,20.18,3.25
22.81,38.04,7.57
19.74,31.35,3.48
19.75,31.68,2.47
22.45,34.51,5.05
19.3,29.89,3.57
24.6,40.9,6.06
21.19,32.32,1.87
20.12,31.59,3.72
14.89,17.27,2.26
15.25,19.49,4.42
26.46,43.89,2.86
22.51,33.95,2.55
12,15.24,17.42
28.22,46.44,1.72
10.63,15.44,24.87
14.59,20.02,2.19
14.51,19.45,6.64
17.58,25.5,3.92
20,28.27,4.2
18.37,27.81,2.09
13.04,17.07,2.3
17.09,24.1,1.59
19.2,31.35,3.55
15.07,18.83,6.04
23.17,38.17,2.13
17.36,24.82,4.55
13.75,17.38,5.78
21.43,35.36,6.1
21.39,32.53,2.99
18.4,26.19,3.7
25.81,43.64,8.54
18.33,27.63,3.55
15.42,22.9,1.63
18.69,30.58,2.49
17.15,21.69,14.28
21.11,34.36,4.35
23.21,36.4,4.23
16.87,25.04,20.16
18.66,30.67,5.31
20.36,29.97,3.61
26.17,42.82,2.44
15.83,28.56,2.61
20.2,34.34,7.14
13.49,18.87,2.37
23.57,35.61,3.31
19.9,35.48,1.77
20.97,38.32,1.79
16.83,27.12,3.71
26.69,44.84,5.05
20.42,29.85,4.28
17.72,26.83,3.92
17.03,26.46,6.05
12.48,16.14,4.12
19.91,28.82,1.73
19.64,29.9,8.93
26.28,46.11,2.17
13.25,13.4,4.27
17.39,28.95,7.43
22.46,36.68,7.15
28.3,48.58,2.01
16.87,26.26,11.8
19.57,30.46,7.86
21.75,32.7,1.74
23.13,34.71,1.95
23.49,39.5,1.82
11.96,16.14,4.63
8.57,7.16,2.94
24.32,40.37,11.13
20.41,33.58,4.58
12.39,15.14,2.83
12.46,15.29,2.16
21.48,35.1,5.95
21.34,32.15,5.95
18.03,29.33,2.15
16.11,21.37,5.34
25.9,43.21,1.74
13.19,17.42,2.86
25.15,43.34,4.62
20.56,34.84,3.59
15.81,20.28,7.58
16.12,25.92,10.93
23.76,39.11,2.22
20.04,31.36,4.49
25.71,45.26,2.81
24.93,38.88,1.71
17.85,26.81,4.85
14.77,18.29,3.12
25.83,44.79,3.27
17.29,23.88,1.59
19.14,27.99,3.62
15.99,20.12,4.68
