price,duration,wait_time
22.65,35.7,2.73
29.78,51.98,3.07
11.82,12.85,1.91
26.59,46.55,2.26
21.38,35.2,10.58
16.43,25.54,10.41
16.57,25.41,6.09
19.89,29.31,1.79
22.32,38.67,1.76
21.46,31.46,2.43
13.63,15.69,6.42
12.4,16.21,5.56
17.8,26.67,7.73
13.68,18.94,10.3
18.7,24.98,4.59
24.7,37.71,2.52
16.31,18.76,4.42
17.32,26.24,6.67
27.6,44.5,1.97
20.29,29.68,10.17
18.87,28.55,6.56
21.87,34.97,1.9
21.6,35.78,2.52
23.95,39.99,5.65
19.82,31.12,3.83
22.52,40.23,2.33
24.72,41.29,4.24
20.06,33.42,7.48
25.72,38.57,2.74
10.18,12.54,2.75
20.9,37.02,2.86
13.09,16.3,3.81
20.51,31.81,1.65
22.53,36.41,1.99
27.93,47.31,6.64
22.94,37.89,1.68
17.93,22.45,1.93
24.24,40.2,5.82
14.43,18.72,6.28
18.26,31.42,1.52
15.53,22.24,9.22
11.94,13.92,1.91
25.55,39.64,7.99
30.49,53.31,5.28
23.33,37.83,2.9
22.37,39.26,6.37
20.03,29.28,3.88
20.46,29.53,8.56
17.45,26.93,4.22
14.66,18.87,4.6
13.19,15.57,6.36
20.5,28.33,11.42
23.39,36.7,6.44
17.9,28.45,4.52
14.52,20.66,8.8
14.17,22.07,2.05
30.49,53.29,1.54
22.48,36.09,3.76
15.26,23.73,3.69
19.93,31.19,2.98
25.41,40.91,3.36
11.85,15.72,3.49
20.71,32.75,6.23
13.81,17.75,1.63
25.9,43.51,3.34
24.09,39.41,2.26
26.76,42.1,4.65
19.09,30.19,7.97
21.47,33.68,10.64
16.25,22.05,6.55
12.22,13.2,1.93
22.59,39.45,3.26
19.89,34.3,2.18
16.71,26.35,2.77
20.05,31.39,2.59
22.07,35.45,5.55
14.59,20.02,2.19
22.48,35.11,5.66
17.69,26.83,1.63
17.7,29.71,6.9
22.26,35.24,1.68
17.86,26.6,2.32
23.36,39.67,1.5
19.36,28.32,5.96
18.57,28.88,1.99
21.37,35.77,4.39
21.17,34.1,1.57
18.08,27.75,5.13
16.4,24.5,1.65
21.39,33.64,16.98
18.2,30.46,1.64
24.38,42.65,1.87
14.64,22.37,4.43
18.81,27.64,1.55
10.86,9.8,3.67
22.01,35.04,6.78
13.39,17.05,1.79
27.94,48.62,5.51
22.17,36.48,1.51
22.83,36.23,3.45
