price,duration,wait_time
16.14,22.44,1.86
13.94,18.85,9.08
15.64,23.09,3.72
15.96,22.71,2.28
15.65,24.09,5.12
18.29,33.88,3.06
12.34,15.85,9.94
12.67,15.31,2.17
15.01,16.43,3.31
19.04,27.19,5.51
21.69,32.05,2.64
22.55,32.87,5.72
25.52,41.22,2.49
21.68,37.01,2.63
19.93,30.95,5.24
24.85,42.19,1.82
20.85,35.19,5.56
19.7,26.57,3.93
19.13,31.25,3.11
20.99,33.4,1.8
15.71,21.16,4.02
20.32,31.95,4.04
24.2,38.6,4.88
13.98,20.11,9.69
15.68,22.36,2.9
27.46,49.56,8.19
16.87,26.26,11.8
16.71,25.27,3.9
20.36,34.48,5.85
28.61,51.99,6.19
8.83,6.41,4.37
18.61,24.15,10.62
23.46,36.99,1.55
14.72,20.62,4.49
13.95,17.82,5.28
21.51,40.15,3.42
17.57,30.42,1.93
27.21,49.47,5.01
17.41,30.83,1.9
21.12,34.61,3.85
22.06,36.67,5.39
16.43,24.16,2.38
20.97,31.48,11.99
24.15,43.49,3.52
14.04,19.51,4.91
19.14,33.49,1.89
20.06,32.39,4.06
14.63,16.97,3.89
18.62,29.8,5.83
12.27,16.57,8.03
26.15,41.39,5.57
22.31,36.78,4.83
9.59,7.91,6.46
14.94,16.7,6.05
19.66,33.05,4.29
11.22,16.78,5.73
15.53,19.52,2.85
20.36,34.57,2.38
16.69,24.8,9.54
19.98,27.44,6.77
21.97,36.49,6.82
22.6,32.69,1.57
19.33,32.49,2.6
14.58,19.32,3.1
21.63,33.48,7.09
14.28,19.46,18.43
21.15,32.18,5.96
17.27,26.01,1.82
14.31,16.33,1.72
18.83,29.21,3.08
14.03,19.11,2.47
14.18,16.79,10.18
19.08,29.19,2.44
20.24,33.01,2.45
20.55,32.07,2.51
21.44,34.56,6.61
22.92,35.26,1.98
17.36,24.34,6.94
18.47,25.99,8.9
24.85,41.86,9.7
13.98,18.76,1.57
15.55,19.78,1.95
15.36,19.85,2.73
16.24,24.95,13.78
22.5,36.18,3.03
24.46,38.68,3.85
23.78,39.9,3.21
18.87,26.03,3.14
18.97,28.43,2.46
24.58,41.48,2.09
16.52,22.4,5.67
27.12,47,4.45
24.32,41.7,4.04
14.97,17.74,2.01
22.87,37.58,1.77
21.95,35.31,3.57
19.92,29.7,3.93
22.01,36,4.86
20.22,29.52,3.57
20.76,27.62,4.19
