price,duration,wait_time
15.32,22.94,4.95
16.31,25.12,2.11
20.43,31.16,10.69
14.74,22.13,3.07
15.48,19.4,5.06
22.35,37.78,8.23
18.56,28.36,13.68
16.18,26.82,5.41
17.95,22.22,4
23.11,35.64,8.04
17.03,25.2,3.29
15.25,19.73,3.56
13.8,18.55,6.98
26.17,46.62,2.03
22.02,38.84,5.63
19.03,30.58,6.05
25.56,43.31,3.13
16.47,22.51,4.28
20.4,32.07,6.41
22.96,39.43,2.73
19.22,33.44,3.32
13.33,18.68,4.48
22.65,40.46,2.61
20.43,26.92,5.3
26.83,45.8,1.58
18.42,27.26,1.76
19.64,28.3,6.61
16.41,25.93,2.15
25.57,44,4.18
18.21,26.61,5.24
20.93,34.27,4.46
16.63,22.95,3.14
18.7,25.48,5.02
20.43,33.11,6.66
16.94,24.41,7.58
11.12,14.46,4.52
21.89,36.84,4.01
21.56,32.36,10.61
15.84,25.54,3.27
24.4,42.61,4.9
16.37,22.17,2.7
20.82,34.83,4.52
23.64,39.06,2.85
12.41,15.48,3.14
29.13,52.6,4.28
13.73,16.71,2.47
27.66,49.32,2.35
19.46,29.76,3.97
24.65,42.66,1.9
13.43,16.99,3.89
9,7.53,4.47
9.34,7.19,8.91
26.87,48.92,5.29
20.28,32.76,2.76
20.01,32.35,3.14
19.51,31.04,18.36
14.25,17.25,4.8
14.21,18.22,6.91
18.07,28.13,6.19
21.74,34.99,1.77
12.4,14.62,3.43
15.24,22.16,6.43
23.2,36.89,4.07
21.81,35.52,12.89
18.74,30.8,4.62
18.84,29.67,1.67
17.75,25.24,3.72
15.54,23.36,2.98
22.29,35.38,1.51
20.58,32.5,5.87
24.07,38.82,8.5
17.63,23.87,10.36
19.01,29.4,3.61
21.3,30.39,8.49
20.53,31.77,3.9
27.34,46.72,2.36
12.26,16.87,8.36
15.79,14.66,3.93
22.03,35.64,5.73
25.26,42.29,3.92
29.96,51.07,1.76
24.75,44.06,2.36
19.61,29,4.16
20.75,34.89,2.13
29.29,49.22,3.79
19.98,31.12,2.4
25.39,43.95,3.15
16.95,26.82,3.12
18.62,28.33,2.28
23.86,39.29,5.45
19.31,30.59,1.64
7.6,4.89,8.2
16.26,22.62,1.51
28.51,46.78,1.62
17.04,22.2,2.5
17.28,21.91,10.55
25.03,40.09,8.35
12.74,16.17,4.11
18.96,28.67,3.18
15.23,19.54,3.88
