price,duration,wait_time
15.59,21.74,5.22
20.86,28.12,3.08
19.26,22.73,1.77
14.1,18.51,4.78
17.15,21.65,3.39
17.56,25.18,3.08
16.89,25.68,4.08
22.37,38.01,17.83
17.06,22.47,13.63
11.96,13.89,7.97
26.47,43.56,3.72
17.46,20.15,4.61
17.04,23.77,1.83
12.87,13.13,2.39
21.74,32.46,6.4
14.53,19.23,1.68
16.73,21.23,1.95
18.89,25.86,3.43
18.5,30.82,3.54
21.25,32.8,4.23
16.65,23.26,3.35
16.47,20.75,2.72
10.89,17.85,19.68
19.89,30.09,4.15
22.15,34.24,3.05
20.64,33.92,2.28
14.82,19.98,4.61
18.02,28.42,2.28
11.76,13.05,3.96
17.67,28.15,2.84
18.87,27.98,4.12
19.25,30.99,24.35
17.23,24.93,5.6
22.6,34.73,5.08
13.3,21.86,2.5
17.97,26.54,4.17
13.01,18.13,1.59
21.96,35.2,9.28
14.11,18.64,1.59
25.86,38.17,2.02
23.06,39.39,4.2
20.75,32.99,11.07
20.03,30.67,2.6
22.02,35.87,1.53
24.92,43.15,2.15
15.84,19.11,7.43
17.39,26.89,2.05
21.07,33.28,1.99
24.24,43.44,3.97
23.52,38.04,2.34
13.25,15.37,1.63
24.44,40.3,2.66
16.86,26.7,3.49
12.99,15.6,3.09
18.93,29.39,3.28
24.36,36.68,2.15
13.2,19.59,3.26
28.22,45.17,8.09
16.59,23.23,2.54
15.84,22.34,3.51
20.21,33.78,4.64
19.96,33.06,1.98
17.87,27.82,1.85
15.83,22.67,2.83
19.54,27.23,13.32
24.03,41.48,5.1
20.84,29.87,1.89
24.6,36.39,7.77
9.88,14.45,5.42
18.32,30.19,1.99
17.27,24.36,7.27
21.35,36.02,1.96
19.44,28.37,5.42
15.85,20.68,15.7
23.4,35.89,2.1
22.55,38.13,4.97
19.04,28.6,2.3
16.55,24.25,1.71
12.36,17.47,5.2
26.27,42.33,3.71
19.63,33.22,1.75
27.83,53.63,3.45
21.43,34.43,4.94
17.9,27.38,6.05
14,18.56,7.9
17.45,24.08,1.71
22.76,36.5,3.54
22.31,36.71,3.79
12.21,10.87,14.9
18.85,31.18,7.46
18.64,29.85,5.26
19.73,28.35,7.38
21.12,29.06,6.48
23.46,37.27,2.23
26.84,47.87,1.96
21.94,32.39,1.58
13.52,19.09,4.35
23.32,40.85,4.54
26.31,42.71,5.97
23.87,41.26,5.11
