price,duration,wait_time
26.27,47.58,2.1
23.83,40.42,3.6
19.34,25.41,8.27
25.72,48.54,15.92
27.94,47.31,5.02
28.97,51.53,2.22
16.98,24.32,4.07
14.81,18.79,3
12.17,16.32,4.08
20.06,31.24,9.6
18.12,29.49,4.2
25.73,39.64,19.1
18.82,29.61,1.73
15.82,23.04,3.31
22.72,38.42,1.56
18.46,28.84,5
12.41,15.1,11.51
21.81,36.21,8.34
18.08,26.09,4.72
18.57,27.62,3.91
18.1,27.39,4.22
26.28,46.84,4.04
17.47,25.32,1.52
24.62,37.83,2.66
20.41,34.76,2.63
15.98,21.45,1.7
17.57,25.57,3.68
29.86,50.75,1.65
17.22,24.58,2.45
24.77,37.96,2.13
18.88,26.09,3.28
16.85,24.61,2.72
24.39,42.63,3.63
27.54,51.09,3.08
13.83,20.77,6.09
23.57,40.65,5.96
19.54,26.54,1.58
20.54,33.63,2.33
15.62,20.8,2.62
18.9,30.21,1.65
17.32,21.98,2.81
26.64,45.9,2.35
22.79,41.13,2.71
19.93,28.71,2.3
14.1,13.01,5.63
16.29,23.9,2.83
13.42,17.91,4.18
28.09,47.83,5.29
28.53,47.82,1.94
21.63,35.95,1.98
15.97,23.88,7.64
23.38,39.96,3.82
12.51,15.11,4.25
17.18,26.53,2.35
24.69,38.08,3.41
19.1,25.8,12.45
16.6,23.94,8.62
28.84,48.5,1.99
25.03,39.98,9.96
17.75,26.34,11.2
24.39,39.6,4.23
23.81,36.12,6.13
13.37,16.24,16.1
20.28,32.12,2.95
13.59,17.91,12.95
18.27,24.23,8.86
18.49,30.87,3.97
18.91,24.92,3.55
20.86,35.67,15.09
15.77,22.89,3.09
9.96,8.54,7.06
20.53,32.19,17.65
21.59,33.66,3.31
20.87,34.19,2
19.77,30.87,8.24
17.06,25.33,2.16
20.77,35.7,2.63
27.55,47.77,6.65
18.97,30.25,3.21
19.16,30.23,4.01
13.44,17.84,1.91
13.18,16.84,8.08
13.94,17.14,1.87
24.92,38.71,5.65
23.59,40.24,6.03
10.34,12.9,4.51
13.7,16.84,1.63
17.02,25.47,16.38
20.61,29.49,1.91
26.04,45.22,1.77
15.83,22.67,2.83
27.89,48.34,7.98
18.58,28.46,2.01
20.78,31.38,6.8
12.05,13.79,2.46
21.76,35.06,1.71
17.95,24.48,8.42
17.25,21.63,7.01
25.02,40.97,1.92
20.26,31.44,2.66
