price,duration,wait_time
19.75,34.07,4.02
15.66,24.97,2.5
25.81,42.2,2.04
16.14,24.73,3.12
28.19,48.76,3.78
22.72,38.37,1.88
18.95,28.19,5.27
25.94,45.48,3.43
21.49,35.14,3.94
13.08,17.86,5.75
23.64,38.67,3.39
11.97,16.31,3.94
16.92,21.93,2.94
14.73,20.66,8.09
12.58,16.57,2.91
24.44,38.52,3.53
28.05,42.75,7.78
26.81,48.9,5.57
9.15,7.08,2.02
16.36,25.42,5.43
17.46,29.33,5.04
18.02,27.11,1.86
16.5,27.48,3.36
20.55,29.81,2.59
16.22,21.01,10.59
26.9,41.29,3.25
21.58,34.64,4.68
15.05,20.55,1.92
17.73,25.9,4.21
25.72,42.77,3.62
18.87,26.85,1.71
10.53,8.28,10.96
25.61,45.5,2.57
27.95,46.61,2.9
20.02,33.73,8.64
17.85,28.33,3.27
23.17,40.07,2.6
13.89,15.5,2.88
17.84,24.22,1.92
17.11,24.39,3.19
32.89,59.59,1.83
19.87,28.69,3.64
24.38,37.87,1.88
14.36,19.01,15.39
19.54,29.94,1.85
19.95,29.86,4.02
13.92,17.68,10.59
35.29,64.3,1.83
23.57,36.83,9.77
16.26,23.81,7.51
21.83,35.06,2
26.18,48.82,9.86
21.79,35.82,3.52
18.05,25.79,4.61
13.19,16.21,2.02
18.56,29.39,1.88
17.67,28.35,2.17
17.04,26.53,3.89
13.08,19.84,6.86
21.1,34.59,12.77
24.86,42.06,1.69
11.84,15.3,6.68
19.27,30.14,2.64
19.56,28.48,1.64
12.98,15.48,2.13
20.23,28.28,3.76
17.53,24.61,1.74
15.03,22.04,3.71
23.76,38.42,1.79
13.2,14.46,2.07
14.15,18.39,1.76
11.93,14.3,3.87
12.46,13.7,3.4
17.28,30.84,2.03
13.11,18.23,2.15
10.23,12.74,6.13
17.66,26.83,2.28
12.32,12.83,4.59
18.57,28.7,7.56
17.16,24.79,2.55
15.28,18.83,2.56
17.93,28.84,1.57
21.67,31.9,4.95
24.36,39.74,7.59
24.78,40.78,2.6
25.27,43.71,1.58
18.27,28.29,7.48
15.06,19.57,6.71
22.04,32.1,2.82
10.88,12.48,5.06
29.58,54.2,4.51
21.26,33.24,3.27
17.5,26.61,3.58
23.49,40.34,3.1
22.5,38.89,1.5
20.32,32.48,2.01
18.64,23.35,10.95
23.79,41.52,3.64
19.91,33.02,5.11
20.65,31.47,2.05
