price,duration,wait_time
19.32,28.28,8.82
21.44,35.36,8.86
26.76,45.44,22.11
21.75,32.94,5.55
15.99,19.64,6.93
26.07,44.83,3.37
18.35,29.06,1.66
21.24,31.95,7.06
20.83,31.75,13.09
19.18,30.72,1.69
14.21,19.9,7.87
21.47,29.54,5.12
20.66,34.48,5.15
21.79,35.99,3.76
12.49,14.97,3.37
15.18,14.73,3.42
22.31,32.53,5.22
11.25,12.23,6.87
19.66,31.16,4.04
16.12,23.11,5.08
7.61,6.77,2.96
21.62,33.78,3.44
16.66,21.95,2.66
21.88,33,3.75
23.93,42.2,5.31
21.56,37.2,4.73
25.17,38.24,2.11
14.02,16.88,1.67
16.8,27.24,2.01
20.01,30.65,3.48
8.91,4.57,2.01
14.22,19.8,3.66
13.02,16.8,6.55
17.12,23.57,2.57
14.06,18.31,3.18
26.49,44.99,2.99
23.04,38.02,10.56
21,33.24,5.48
18.95,29.61,15.86
13.25,13.4,4.27
25.32,39.63,2.95
27.82,51.02,6.37
20.74,36.29,6.1
23.32,37.61,6.83
24.91,38.61,4.82
15.03,19.12,7.11
21.72,34.07,2.45
21.23,32.52,4.49
22.82,38.63,8.31
13.52,15.72,3.31
27.28,46.45,3.58
24.26,40.39,8.12
15.81,21.67,4.05
27.11,51.45,2.29
15.91,19.65,2.2
24.1,45.32,4.72
17.32,23.93,4.27
14.05,19.34,6.82
12.82,17.35,2.3
21.31,35.94,2.85
8.35,8.09,5.73
26,45.73,6.69
17.5,24.24,3.43
25.71,43.03,2.08
28.34,48.46,3.93
21.6,32.96,3.67
11.48,8.42,2.39
25.57,41.52,2.13
14.74,19.65,1.51
22.08,36.63,2.45
17.32,24.06,1.58
15.84,19.11,7.43
16.84,27.85,2.15
16.7,22.77,4.4
23.62,35.8,5.59
23.19,39.87,1.63
12.46,10.53,1.94
21.48,34.77,2.67
23.57,39.13,2
27.13,48.13,2.08
14.98,20.95,1.6
29.2,51.74,2.65
13.23,15.73,2.39
24.4,37.85,4.82
17.69,25.54,3
13.27,20.56,5.6
20.53,31.4,4.56
15.17,24.49,3.56
22.41,39.69,1.74
23.82,40.17,1.62
17.89,28.44,7.46
20.13,35.74,1.98
19.34,30.34,9.62
18.6,26.98,2.39
21.9,40.38,5.94
11.57,9.57,1.54
16.63,22.53,10.91
19.91,29.58,1.62
14.72,18.56,2.13
18.2,28.43,3.31
