price,duration,wait_time
22.75,37.88,4.27
30.16,50.86,7.41
15.33,20.9,3.29
22.09,34.93,2.84
16.31,20.55,3.97
10.2,8.99,4.87
17.6,24.41,1.79
18.2,27.93,6.43
26.41,42.97,1.81
24.78,41.05,2.09
19.39,28.72,2.52
32.66,60,4.95
15.99,21.72,3
16.55,23.07,2.12
22.27,33.02,6.79
21.15,33.26,14.68
15.4,19.21,4.55
23.15,36.81,2.3
20.09,30.81,6.85
14.64,17.55,3.88
19.84,29.14,1.87
19.89,29.53,17.55
21.72,32.51,4.37
20.2,28.93,4.08
18.74,32.39,17.84
19.62,32.07,1.73
21.31,35.16,3.78
18.87,32.4,2.68
16.76,24.11,4.89
31.8,55.68,8.93
21.27,34.09,1.65
21.95,35.01,3.88
21.23,39.12,2.62
22.47,42.18,6.99
19.47,28.06,2.69
12.54,15.55,1.63
18.79,29.71,2.59
20.07,31.65,3.43
20.91,35.97,2.08
27.31,51.65,2.71
17.66,28.53,2.72
18.21,27.57,2.12
18.32,30.5,5.36
20.12,30.83,1.95
16.47,22.09,1.56
8.66,6.89,17.19
29.27,49.73,8.36
21.34,35.14,1.54
12,15.01,2.07
23.24,38.33,1.76
18.24,28.59,5.02
22.81,33.08,3.56
17.67,26.02,2.64
23.6,42.4,2.82
16.43,26.47,5.22
25.93,43.8,6.44
24.14,36.4,10.61
13.52,20.02,3.94
22.14,38.55,2.45
22.65,39.45,1.67
26.09,45.74,2.37
21.95,33.29,2.37
18.61,28.27,1.71
24.97,42.52,2.64
11.59,12.61,1.72
20.53,30.95,1.73
25.12,45.22,2.9
21.93,40.08,7.81
18.62,27.06,8.02
23.07,39.09,7.63
26.7,47.14,6.78
10.39,9.12,8
20.69,29.48,12.01
25.37,43.32,9.11
23.95,41.49,6.09
13.21,15.11,8.41
19.03,27.73,4.7
21.94,33.37,4.44
12.09,14.27,5.82
24.34,38.8,2.41
12.4,13.22,2.42
19.11,30.7,2.13
14.09,21.98,17.77
20.17,30.04,1.98
17.55,25.26,2.17
22.47,36.48,2.87
26.26,42.93,4.06
12.32,11.6,2.04
13.98,18.98,1.98
14.16,16.61,1.58
20.79,27.82,1.89
28.71,48.58,2.84
9.84,10.87,1.6
23.81,40.99,4.25
26.93,44.78,4.27
23.19,36.62,3.6
21.2,34.37,1.58
16.77,20.05,3.71
17.43,23.88,2.34
20.53,33.27,2.94
