price,duration,wait_time
24.59,44.58,6.67
26.69,47.41,1.77
17.63,24.96,2.12
20.67,34.56,5.58
13.49,18.82,4.59
19.41,31.88,13.05
18.91,28.41,2.17
14.08,20.4,2.84
23.41,37.06,5.9
19.85,29.3,6.12
33.62,56.88,3.86
12.85,21.22,7.81
20.38,29.1,5.94
18.63,26.94,4.78
16.2,25.07,1.87
21.96,36.57,2.97
22.66,37.13,2.76
10.46,11.51,3.36
14.49,16.88,6.93
25.7,43.5,2.17
26.93,42.18,1.51
16.57,23.78,8.22
16.33,22.72,8.53
25.01,39.86,2.35
22.27,36.69,2.91
23.86,38.32,13.25
26.49,42.3,6.47
19.12,26.95,2.52
21.05,31.41,3.4
19.88,31.32,6.57
18,27.58,5.37
17.38,22.25,2.93
17.38,21.76,13.44
14.33,19.88,5.74
21.62,34.83,3.25
21.5,33.67,3.47
13.06,15.22,2.44
16.59,20.88,4.64
26.7,42.25,4.73
20.53,30.74,6.97
26.25,42.79,7.93
20.08,29.08,11.99
13.85,17.47,3.34
24.2,38.9,9.81
18.02,27.75,4.8
29.63,50.5,2.21
12.85,12.26,8.05
9.34,9.31,1.91
25.8,40.33,4.69
16.37,26.81,2.87
21.51,33.61,2.98
14.78,20.52,3.7
20.45,30.31,16.56
14.4,20.42,11.55
18.09,24.34,6.81
18.76,31.02,3.64
18.93,26.91,2.35
16.6,20.84,4.58
19.67,32.08,1.6
17.89,24.32,2.73
23.3,36.18,2.3
24.99,44.31,2.2
18.79,27.51,2.36
17.83,27.49,6.8
19.84,32.5,3.04
15.96,24.38,13.78
18.35,27.95,12.77
19.45,31.31,3.36
26.09,48.36,7.06
15.11,22.14,5.96
15.56,15.98,3.22
15.84,19.96,4.29
21.24,33.56,4.87
28.07,48.94,3.58
16.8,28.26,3.25
22.56,38.22,2.68
13.94,21.87,1.57
19.19,30.99,6.47
13.03,14.75,9.38
9.57,8.41,1.67
14.23,16.9,7.6
17.14,27.47,4.71
13.57,16.45,8.86
23.42,36.06,2.59
22.02,38.21,2.86
22.61,38.36,4.54
15.16,20.22,2.9
15.95,25.48,1.82
21.47,35.43,1.96
21.01,28.33,1.65
21.09,32.93,2.53
19.42,28.03,4.42
25.41,42.62,2.5
26.43,44.01,1.75
16.19,21.98,10.62
20.09,29.25,1.96
24.88,44.96,2.9
24.07,39.61,1.66
16.73,27.39,1.5
18.59,25.88,1.72
