price,duration,wait_time
29.01,50.45,4.34
15.91,22.14,7.86
22.1,35.77,1.66
21.92,38.43,8.37
22.46,33.65,2.04
15.22,25.31,2.48
18.85,27.56,3
21.15,32.82,2.56
15.03,19.81,3.93
15.21,20.58,10.51
23.07,37.11,6.45
20.35,32.82,1.79
21.39,32.05,8.73
15.89,22.77,2.53
20.13,33.43,1.94
26.3,40.27,4.18
25.37,46.39,2.89
20.06,30.48,7.53
27.23,46.42,2.74
26.68,45.91,2.35
18.44,24.8,4.79
15.33,23.25,5.24
27.13,47.27,1.68
29.04,48.81,7.35
12.53,21.67,12.28
22.41,33.04,6.34
23.08,36.17,2.97
21.87,36.34,4.85
21.11,34.56,3.8
25.15,46.24,2.6
12.14,15.49,6.83
14.19,14.14,6.36
21.28,29.29,1.6
20.67,34.77,2.54
22.24,35.84,10.84
24.75,41.35,5.37
28.17,48.81,2.46
19.83,30.15,2.65
21.82,33.96,3.49
15.3,22.93,2.62
24.87,37.44,2.76
16.66,24.65,5.28
22.13,37.52,6.55
6.63,3.15,3.22
24.2,40.04,2.01
15.39,18.68,2.07
19.8,31.21,1.67
23.64,37.35,2.16
18.51,25.97,3.08
21.42,31.26,12.08
17.11,25.5,4.5
23.35,40.82,8.4
19.69,30.07,2.64
22.06,33.8,3.56
17.66,24.16,3.46
12.17,16.64,10.22
17.41,23.47,5.12
11.33,10.58,3.91
16.09,20.75,3.82
22.38,37.66,1.63
21.44,33.17,3.86
24.25,42.07,3.2
23.17,36.76,4.06
15.7,25.2,2.57
12.57,17.16,3.01
18.11,27.93,2.44
19.23,28.32,2.14
24.55,44.06,5.62
24.21,40.14,4.33
16.08,24.12,3.15
20.25,28.07,6.25
21.41,32.86,4.57
27.86,45.6,3.09
14.64,23.66,2.37
18.06,25.34,8.79
28.01,48.84,3.14
19.24,30.95,5.2
20.62,36.53,6.78
18.94,31.41,4.69
28.6,45.54,7.84
15,22.12,3.04
12.38,13.96,8.41
22.37,34.17,1.6
26.61,42.57,2.98
24.01,36.07,5.69
20.62,31.38,2.69
25.47,42.92,2.52
19.78,29.65,5.81
19.36,28.32,5.96
21.86,32.7,5.03
21.8,36.58,5.54
20.66,33.49,2.51
24.85,40.98,7.73
20.66,31.17,1.64
22.48,34.98,2.79
15.08,22.61,2.14
21.16,33.17,2.82
19.18,28.19,5.72
26.38,45.15,3.24
21.45,36.57,2.82
