price,duration,wait_time
28.88,50.06,2.59
19.62,36.46,3.25
18.23,32.73,4.18
13.89,15.99,4.11
20.67,33.84,2.38
17.63,29.54,2.34
20.03,35.26,2.1
15.13,21.02,3.07
18.13,26.04,2.15
18.37,30.68,5.36
19.14,25.38,2.01
22.52,36.85,3.9
19.45,26.54,5.83
24.42,46.92,1.84
21.37,36.08,2.26
17.66,25.64,2.17
21.05,30.69,3.17
14.97,22.4,2.51
19.96,35.22,2.49
19.92,33.79,5.59
20.03,33.73,4.84
7.96,6.13,3.92
22.76,39.99,2.64
13.33,16.51,9.39
18.22,26.06,2.84
12.3,15.31,7.18
14.91,20.43,9.22
20.84,36.25,1.54
18.69,28.85,2.65
16.79,24.09,3.6
11.37,14.44,5
14.54,21.41,6.09
16.46,21.54,2.68
21.22,37.69,7.92
22.73,37.9,7.2
21.22,33.89,1.55
19.7,28.2,12.13
16.05,23.94,1.94
23.78,41.52,2.45
15.48,19.35,11.54
18.15,31.73,3.12
19.84,28.38,1.5
16.64,26.26,2.39
18.61,28.87,7.26
16.95,24.9,1.7
12.4,16.5,1.57
17.24,23.94,2.77
23.46,39.17,3.38
17.16,19.56,3.45
22.85,37.16,5.04
26.13,44.47,4.15
15.92,22.98,10.5
19.28,29.48,7.59
23.18,35.06,5.9
20.45,35.08,1.59
17.94,28.4,2.56
22.02,37.16,9.35
25.39,40.39,1.94
15.74,22.84,1.79
10.06,9.17,5.25
25.72,39.29,3.52
16.99,24.5,6.18
16.31,25.24,11.2
20.03,35.17,5.78
15.5,22.04,2.67
24.53,38.77,9.4
21.64,37.72,2.9
19.37,31.72,3.33
17.02,23.42,2.85
11.99,13.84,2.74
11.95,12.33,5.12
20.14,33.22,3.91
25.67,41.81,8.5
21.57,35.57,4.87
22.26,36.57,4.74
17.16,24.29,2.29
11.53,15.93,1.89
24.33,38.48,4.33
21.37,36.79,4.74
18.15,25.01,2.73
21.59,35.19,9.05
25.91,44.17,1.82
11.6,12.86,1.52
13.39,14.8,1.85
30.8,57.7,1.65
29.64,51.05,7.84
15.34,20.45,5.82
19.07,28.98,4.94
20.59,26.54,1.96
22.16,35.91,3.75
15.56,23.12,8.91
23.26,39.18,6.69
18.88,29.83,1.86
16.07,23.3,5.14
16.6,23.45,7.37
19.64,30.08,4.58
16.23,22.38,4.15
11.19,14,10.1
22.17,34.15,5.3
13.04,16.79,7.43
