price,duration,wait_time
23,39.53,3.19
22.98,39.34,10.85
13.24,13.6,2.99
15.06,17.48,4.24
23.12,35.71,3.39
17.29,29.85,1.76
17.73,24.81,5.42
14.57,19.02,6.23
22.12,38.21,2.36
18.92,25.66,5.83
28.36,52.74,5.04
21.25,36.39,2.87
16.7,24.17,4.09
23.9,40.75,7.35
18.3,26.96,5.54
16.59,20.76,3.67
20.47,32.03,6.2
14.95,20.54,2.04
22.7,36.66,1.88
15.83,22.11,9.52
22.85,38.09,4.63
24.41,43.11,2.76
20.27,28.65,2.36
14.84,18.42,1.7
18.84,31.08,2.23
30.21,51.25,1.92
20.63,36.44,1.95
25.38,38.48,15.88
16.61,24.4,5.79
12.26,14.38,2.09
22.89,42.98,3.01
23.07,31.33,1.95
22.8,38.86,2.29
20.85,36.54,3.66
18.9,32.25,3.75
21.09,31.14,4.09
29.05,52.63,5.1
13.88,17.93,17.05
22.83,38.35,1.78
18.14,27.43,1.58
16.93,24.79,1.66
21.13,32.95,3.53
17.11,23.29,5.78
20.21,32.15,5.53
14.87,19.35,5.57
21.59,33.66,3.31
21.51,33.63,4.24
22.95,40.13,3.17
20.86,34.81,5.9
24.25,42.07,3.2
20.09,34.02,3.93
21.78,36.17,1.98
10.98,11.82,7.44
22.1,37.16,3.18
18.04,29.05,3.66
15.08,21.5,1.71
21.4,36.82,3.73
22.81,37.12,5.1
16.51,20.15,8.43
14.18,18.13,2.44
18.18,29.73,5.96
17.04,26.5,3.2
17.62,21.64,4.86
19.35,28.83,5.25
22.24,39.16,3.87
24.41,38.83,2.42
18.01,28.9,1.68
12.34,14.21,3.1
19.28,29.06,1.94
21.06,34.67,2.17
17.59,27.51,10.69
16.79,28.05,10.15
14.97,23.72,1.92
20.44,28.02,1.71
17.78,26.27,3.8
18.51,26.76,4.18
20.36,30.99,6.74
17.78,25.93,1.82
9.97,10.41,7.94
11.27,10.91,2.13
22.78,36.92,2.91
16.85,24.97,3.71
23.28,34.49,4.69
15.51,23.45,3.98
19.5,31.79,4.2
14.64,20.53,1.53
18.57,26.3,1.51
18.54,28.83,2.8
25.69,42.04,2.2
14.87,18.6,2.25
21.12,33.39,2.42
19.06,31.35,1.83
7.6,6.3,1.6
16.85,28.46,2.18
22,33.33,3.6
19.42,33.85,2.41
19.64,30.3,18.58
22.11,35.96,4.98
19.38,28.51,3.07
22.91,37.66,1.99
