price,duration,wait_time
14.19,17.9,3.96
21.86,39.8,2.82
13.12,14.21,4.56
15.05,21.68,6.83
20.01,28.4,1.88
31.15,55.54,4.75
15.77,21.03,1.85
25.27,43.75,7.83
23.94,39.69,3.32
23.21,34.52,4.09
20.62,34.94,2.45
28.48,51.21,1.68
22.84,39.85,5.43
21.06,37.46,1.57
16.66,25.56,1.72
17.91,27.86,3.28
11.77,13.04,6.14
30.92,58.23,3.3
24.81,40.43,5.6
17.97,26.98,4.23
20.64,29.93,4.6
18.78,31.81,4.17
15.83,24.37,9.57
14.66,18.93,6
20.09,31.18,4.81
15.49,21.98,5.34
17.29,24.84,2.59
23.9,36.19,2.37
19.47,30.62,2.63
29.8,47.94,4.69
13.88,18.34,2.78
19.85,30.63,10.13
15.87,19.78,2.69
29.98,52.71,3.14
17.84,27.13,2
22.95,36.46,7.82
22.13,31.53,2.13
20.96,31.44,3.75
14.76,17.09,9.04
18.81,25.41,1.91
14.03,18.05,2.6
18.62,28.36,4.21
28.12,46.32,1.66
14.72,19.84,3.97
17.72,25.72,14.06
22.45,36.15,3
13.96,17.91,1.65
16.55,22.18,5.01
7.68,5.33,2.16
22.2,36.58,2.67
25.7,47.06,2.45
18.38,29.58,5.75
24.88,41.01,2.75
18.57,27.32,2.63
25.52,42.41,12.84
26.09,47.25,10.64
22.89,36.2,6.02
23.56,39.95,3.22
26.28,42.39,3.23
12.81,18.54,5.71
17.13,25.84,2.55
17.33,25.64,8.33
21.99,36.28,4.15
30.07,51.07,1.91
15.23,18.27,5.38
12.53,17.5,2.28
24.27,40.42,6.49
14.43,18.83,4.19
18.78,26.48,1.75
20.26,34.14,2.56
16.33,25.95,1.79
19.58,29.95,17.26
14.31,18.83,2.99
10.93,12.23,3.81
19.81,31.41,4.48
21.02,33.24,5.18
15.44,20.79,2.94
12.49,9.85,6.71
18.39,30.34,1.91
20.3,30.32,5.11
15.85,21.38,1.6
18.91,25.16,2.43
23.12,42.66,2.3
19.07,32.71,2.07
27.41,46.4,1.76
22.77,37.51,3.28
12.74,18.21,4.75
22.22,33.29,5.25
23.57,35.07,6.75
8.58,7.74,3
21.96,33.55,2.34
25.31,45.79,8.67
11.69,15.29,2.2
18.84,27.86,3.5
20.2,28.93,4.08
16.99,22.85,2.16
20.48,30.24,1.58
15.49,26.37,3.33
21.02,30.89,5.01
22.46,34.27,2.29
