price,duration,wait_time
25.78,44.2,13.63
19.38,28.97,10.55
17.77,26.49,3.81
14.48,16.27,7.77
16.33,22.21,13.22
16.61,20.31,6.19
24.8,40.42,5.88
16.02,28.02,8.3
26.71,41.84,4.1
22.13,36.43,1.95
18.81,30.03,2.14
16.57,24.77,11.16
16.37,24.14,2.97
11.22,12.73,1.6
26.11,43.63,2.81
20.79,34.47,5.88
21.81,39.06,3.66
17.66,25.69,2.24
14.98,20.47,6.59
25.32,39.57,8.11
19.76,28.83,1.5
13.07,17.38,2.55
20.51,33.31,2.43
26.78,45.93,3.44
17.93,29.2,1.69
23.02,36.12,2.51
33.3,58.69,5.89
20.52,32.5,2.94
22.12,36.9,6.37
13.64,20.71,6.17
17.15,27.66,5.24
9.68,7.39,4.76
17.39,21.2,4.68
16.58,22.25,3.35
21.23,31.74,7.88
24.77,40.47,2.81
15.8,22.37,5.35
19.63,31.89,1.51
16.64,25.81,1.79
21.41,36.05,2.45
20.93,35.97,4.35
17.76,29.33,2.76
24.54,43.72,2.26
17.6,25.14,1.73
16.88,27.76,5.25
23.72,36.02,2.12
15.71,19.98,2.1
12.68,15.48,3.91
28.65,46.12,6.46
20.86,31.7,2.61
24.57,35.22,1.97
18.58,24.54,12.36
24.47,42.19,5.06
32.03,57.18,5.27
20.26,34.79,4.33
17.96,29.18,1.5
18.22,29.25,4.48
16.77,24.63,2.89
19.09,30.54,1.76
21.25,29.96,1.92
20.24,34.42,7.63
19.6,28.95,5.29
29.52,50.55,3.14
29.44,52.24,3.46
22.39,32.09,1.68
9.23,7.78,5.98
17.75,25.77,2.45
24.85,39.97,3.78
17.9,26.44,1.73
17.6,27.14,4.1
18.72,33.62,5.92
10.52,11.75,2.77
25.47,45.01,3.65
17.4,28.47,2.07
13.69,20.8,2.73
21.98,33.11,14.7
12.4,13.35,2.36
24.4,39.87,3.93
22.59,38.29,2.48
15.65,21.43,11.82
16.02,25.66,7.32
17.31,23,2.01
25.65,43.77,8.59
14.07,17.86,3.53
15.97,24.62,9.37
13.53,16.22,2.01
19.33,27.48,2.83
26.49,46.65,3.78
13.67,19.19,4.62
20.7,30.01,1.69
14.63,20.47,5.64
17.12,23.1,2.05
21.13,36.22,4.75
18.94,24.45,2.29
16.26,20.31,4.32
17.37,27.49,4.22
22.34,32.98,2.39
15.16,19.29,1.85
17.89,21.87,5.57
15.78,21.8,14.75
