price,duration,wait_time
18.39,26.6,2.49
18.67,27.74,1.61
17.27,23.29,11.23
25.27,41.19,2.99
20.44,31.39,1.77
18.55,30.06,3.1
26.61,47.85,6.72
22.23,38.32,9.59
19.56,32.02,3.98
29.31,48.31,3.7
15.88,22.39,8.43
22.55,35.81,2.9
20.29,31.12,2.53
15.48,19.9,4.88
14.09,21.49,2.81
10.33,10.43,1.58
16.5,23.09,1.81
23.72,38.64,2.37
22.97,36.65,3.57
26.91,43.38,6.34
19.65,31.64,4.27
13.66,18.83,3.52
22.78,39.71,4.06
21.56,31.81,8.36
15.41,19.2,7.56
28.51,49.83,15
26.79,49.26,6.85
24.19,40.84,5.82
12.13,16.99,8.02
13.4,20.58,2.38
12.55,14.93,8.26
20.65,35.85,2.34
21.86,39.8,2.82
15.49,20.54,5.8
10.56,10.59,5.05
28.82,51.64,5.17
10.27,9.22,4.3
15.62,21.32,7.32
19.12,30.98,2.54
22.49,37.19,2.47
18.38,25.61,13.23
15.79,21.88,3.91
28.59,46.34,1.55
14.02,16.45,4.95
10.91,14.22,1.63
16.36,24.56,6.53
24.69,40.03,3.52
17.23,28.51,2.11
13.49,16.11,2.75
21.9,36.44,2.38
22.75,37.72,10.06
16.27,22.04,5.15
22.14,35.6,2.09
16.02,22.62,2.91
20.63,32.07,11.35
8.52,4.52,3.6
18.16,25.56,4.58
13.74,14.34,2.4
16.02,26.16,2.97
21.71,33.91,4.53
21.14,31.71,2.12
35.55,62.34,2.8
21.68,34.91,5.53
17.96,28.12,2.93
15.24,17.21,3.52
27.13,44.03,5.25
12.4,12.91,3.36
22.77,38.01,2.38
17,26.92,2.26
17.35,23.03,5.1
17.14,21.59,3.94
16.76,22.21,4.12
18.82,33.23,2.04
16.59,25.24,2.55
17.34,26.13,2.93
15.43,23.38,6.39
21.85,32.01,3.18
13.42,17.29,9.21
20.89,29.3,6.92
21.1,34.09,7.88
19.48,26.77,2.25
13.03,17.32,5.29
11.77,15.46,2.08
15.25,18.59,4
16.26,24.39,2.79
18.31,28.55,9.39
18.49,26.36,9.22
14.94,15.97,2.87
18.51,28.06,2.42
14.1,20.39,1.86
19.61,31.46,1.56
17.32,27.35,2.48
16.34,20.94,8.34
16.13,21.91,4.89
21.7,34.57,4.25
27.21,45.33,1.78
18.94,32.06,2.5
18.18,26.68,2.13
22.34,40.1,9.42
11.94,11.47,2.93
