price,duration,wait_time
11.4,12.47,5.48
23.45,38.12,7.54
15.63,19.68,3.42
16.59,22.39,4.24
16.06,22.66,2.08
20.69,36.2,3.47
18.61,31.85,3.59
21.23,35.6,2.78
24.75,44.1,2.53
27.33,45.2,4.1
21.33,35.45,8.29
20.45,29.08,1.94
18.34,29.03,4.82
22.87,38.92,6.54
22.53,35.58,5.63
20.34,31.3,1.79
21.33,38.93,5.91
20.64,33.92,2.28
22.08,37.52,1.6
19.55,27.83,6
25.61,41.82,2.48
26.26,45.33,2.85
21.84,34.05,1.88
24.57,39.85,2.89
10.55,9.17,7.45
11.61,9.76,2.54
16.75,25.12,2.3
20.18,30.47,6.05
23.1,36.29,2.94
25.96,46,3.28
10.64,10.78,1.59
16.76,24.11,4.89
18.26,26.29,4.59
13.9,19.12,1.55
19.42,30.91,2.51
18.71,30.35,5.39
15.17,22.29,3.37
15.63,23.29,2.93
25.44,41.86,14.99
16.57,24.76,6.04
16.32,23.89,2.01
24.58,41,14.08
17.07,23.1,3.52
25.85,46.86,4.1
19.34,31.41,2.85
24.76,42.57,11.77
18.73,29.56,6.47
16.88,24.58,3.51
22.11,38.3,1.86
26.59,45.58,4.29
25.72,43.71,3.42
15.8,22.2,10.97
19.21,27.69,2.73
19.52,29.53,1.54
13.11,18.23,2.15
26.52,45.45,1.84
17.3,24.41,3.27
19.59,29.39,4.82
18.23,27.92,5.79
22.17,37.91,3.74
20.81,32.54,3.75
18.71,30.71,1.81
21.87,36.84,1.98
19.67,31.1,13.84
19.67,31.31,2.21
22.83,32.76,1.68
20.73,33.71,1.67
14.22,22.24,3.14
13.45,19.07,4.68
14.27,22,11.17
20.58,28.65,2.4
25.15,37.6,2.28
26.3,43.45,5.02
24.57,40.3,12.44
18.33,28.01,6.14
16.11,24.31,7.57
19.28,34.83,8.85
19.13,25.56,2.83
15.81,22.47,1.52
25.87,43.33,1.91
21.48,30.6,3.11
22,37.81,6.07
21.41,33.08,4.15
21.98,33.11,14.7
18.52,28.77,4.06
19.27,31.05,3.08
24.63,38.6,1.55
24.48,43.88,5.28
13.8,20.86,1.92
18.57,28.53,1.5
13.32,15.89,9.54
20.29,28.62,2.68
25.51,41.03,7.3
31.1,53.13,2.87
16.77,23.96,12.85
12.25,16.33,4.02
15.78,22.75,9.48
20.06,33.97,9.67
9.39,5.88,9.18
18.68,25.58,2.57
