price,duration,wait_time
20.87,33,5.48
17.32,19.66,5.01
20.82,30.81,3.18
24.85,41.86,9.7
20.39,31.64,4.24
15.65,20.18,2.93
22.05,34.52,6.65
24.36,41.17,3.02
21.05,31.1,1.64
25.9,45.8,1.91
23.1,37.42,15
23.69,34.04,20.27
15.97,19.32,6.48
18.66,26.28,2.67
13.75,15.85,5.25
21.97,35.96,3.74
22.61,36.51,8.56
14.1,21.08,3.73
24.34,38.29,2.76
10.35,10.96,11.24
28.94,52.59,7.89
27.41,46.4,1.76
14.73,17.88,15.02
19.06,28.38,7.62
19.04,27.34,3.87
22.99,34.49,7.77
17.65,27.99,5.32
19.73,33.76,3.18
16.54,22.7,2.98
16.02,18.18,3.93
19.15,29.45,2.32
19.08,34.34,1.98
21.23,33.26,2.1
17.07,24.46,2.12
13.63,18.84,4.02
20.36,29.66,2.82
22.58,35.66,2.06
14.6,17.4,1.5
21.09,29.12,5.27
11.9,14.74,2.92
27.38,48.75,1.89
17.54,27.75,2.05
24.35,43.84,3.62
23.34,42.41,2.33
29.81,50.14,7.57
18.88,25.29,9.7
25.19,41.92,6.34
15.42,17.66,2.85
20.48,30.51,3.41
22.74,37.01,6.8
23.96,41.05,2.23
22.82,39.05,2.65
21.56,35.57,3.77
25.42,41.92,5.72
22.01,35.92,2.31
22.98,40,1.95
17.62,25.33,3.06
16.15,23.82,6.45
20.07,34.32,2.3
28.23,50.98,3.65
10.75,11.65,3.31
24.88,44.96,2.9
20.05,31.9,7.49
20.55,31.96,2.29
21.22,35.03,1.61
26,43.98,6.16
23.44,35.18,8.1
19.11,28.58,2.15
21.91,32.81,5.59
16.51,22.76,6.58
26.23,43.47,6.5
16.82,23.98,5.97
21.5,34.88,4.81
22.44,34.96,5.09
15.36,19.66,3.49
24.91,41.79,4.01
23.08,38.83,2.06
20.28,37.1,10.16
15.49,19.97,2.87
18.71,28.21,3.75
14.62,20.25,2.36
17.75,25.9,2.2
11.96,17.56,4.15
19.21,28.85,2.87
17.17,23.86,3.84
16.79,22.5,2.4
20.64,32.21,1.83
12.62,16.7,1.92
13.48,18.14,2.57
17.26,23.48,4.85
20.15,33.49,1.92
16.88,21.97,4.91
23.71,36.77,2.76
21.39,31.96,1.94
20.21,34.62,2.75
26.29,46.52,5.59
13.06,19.6,4.95
17.94,27.13,2.87
17.75,27.66,10.7
15.96,23.15,3.92
