price,duration,wait_time
12.74,15.82,4.43
20.46,32.54,1.95
16.06,24.82,3.09
15.57,22,2.1
26.14,43.23,2.19
19.87,32.84,4.28
24.4,38.29,4.2
18.08,24.43,4.64
21.34,34.33,4.32
24.45,42.03,3.73
25.14,44.4,3.34
13.9,20.99,4.83
13.1,15.33,6
32.09,55.72,3.25
20.5,30.45,5
31.89,57.36,2.52
16.62,22.16,8.55
19.93,32.31,11.19
13.86,21.24,2.01
24.36,39.43,6.95
28.45,45.2,3.62
12.9,18.27,1.6
19.6,27.73,1.94
20.86,31.33,2.72
21.91,32.89,4.21
18.21,25.48,1.87
26.73,47.93,1.93
21.44,32.77,3.24
16.27,21.8,4.61
21.14,33.29,4.96
18.71,24.77,4.11
20.16,29.61,1.6
20.15,31.34,2.06
21.02,37.1,3.36
21,31.91,3.43
16.67,23,2.41
15.55,24.58,2.94
17.77,25.53,11.34
15.91,24.34,2.54
20.27,29.72,3.04
25.26,41.83,2.7
22.12,33.95,2.68
14.34,17.45,1.79
16.67,23.28,2.34
16.15,25.26,16.16
13.72,13.12,6.88
13.61,14.91,4.68
20.46,30.61,5.88
24.44,39.87,1.82
19.61,31.82,2.08
25.35,42.52,2.39
15.56,21.53,2.42
31.88,59.41,3.38
16.92,21.97,2.53
15,18.68,7.06
21.4,31.7,1.51
19.76,26.15,14.27
25.34,40.42,6.93
24,35.96,8.51
19.09,28.84,4.6
12.86,17.05,6.06
25.34,43.51,1.94
25.06,39.88,2.88
17.43,27.77,4.45
15.34,21.4,1.98
22.96,33.78,2.2
15.43,23.45,4.91
21.02,32,2.38
18.4,27.52,6.58
20.14,32.05,2.76
8.77,8.84,9.26
14.44,18.87,4.46
16.24,22.76,2.32
23.4,39.03,5.1
17.92,30.07,7.76
23.47,39.75,1.63
20.03,32.83,2.14
22.18,37.03,7.4
23.78,39.62,3.54
22.33,38.68,3.5
19.56,30.98,5.45
18.76,25.71,1.64
31.87,59.52,3.75
18.55,23.77,2.67
29.69,49.93,3.27
16.3,21.67,6.85
25.35,42.43,1.57
22.78,36.93,7.46
13.16,20.17,3.25
16.52,19.92,2.38
15.17,20.98,8.64
17.41,23.78,4.26
22.74,40.09,3.21
16.52,23.03,3.95
24.24,41.98,2.23
20.11,32.25,3.32
20.02,32.91,1.98
15.35,20.77,1.7
9.67,9.98,3.73
22.09,36.36,1.93
