price,duration,wait_time
16.5,23.63,6.18
26.72,43.4,5
14.47,21.24,2.78
24.53,38.7,4.61
27.43,46.91,3.92
16.79,26.01,1.93
18.57,29.18,7.66
17.24,25.28,1.64
15.66,21.5,1.51
18.49,29.47,2.07
24.37,38.96,9.69
13.13,15.25,2.14
12.47,10.14,2.22
27.58,48.15,1.66
20.99,31.05,6.91
17.67,25.48,3.35
26.72,48.53,1.68
21.89,38.42,4.77
23.38,36.76,2.82
16.69,28.2,12.11
19.83,31.29,4.08
21.86,37.84,3.58
18.14,25.37,9.2
20.3,32.66,9.93
24.05,36.7,2.38
31.19,53.35,9.03
24.34,41.28,8.23
21.77,37.06,7.99
18.46,25.97,3.79
24.79,39.41,3.59
19.47,32.82,6.13
19.33,28.23,2.31
16.87,22.57,3.94
23.7,39.7,3.86
18.44,27.59,3.71
20.9,32.11,2.59
16.05,23.91,7.18
15.66,24,9.09
18.67,33.03,4.97
22.46,37.49,7.27
15.17,17.21,3.48
15.9,21.1,12.19
18.44,25.1,2.36
21.12,33.14,1.68
16.98,27.29,1.77
27.76,49.93,1.68
21.1,35.46,2.83
15.86,25.54,11.04
15.62,20.6,15.57
22.09,35.17,2.71
17.37,22.81,2.12
23.34,39.15,4.86
17.43,25.93,3.5
18.43,28.2,1.5
19.82,33,7.35
14.32,17.6,5.6
19.08,31.43,2.12
22.17,33.79,5.38
26.11,43.97,1.88
14.61,16.45,8.14
18.28,30.42,5.46
22.25,34.73,6.95
20.36,33.17,6.58
17.38,25.64,6.77
25.09,43,2.46
24.96,43.96,9.05
20.65,32.45,2.56
23.17,38.23,7.35
16.99,22.97,1.75
26.99,47.03,3.01
8.34,8.49,2.61
15.21,24.09,7.18
20.54,31.55,2.62
26.85,47.61,4.28
18.24,29.98,9.16
24.28,39.81,2.98
14.11,18.69,19.28
17.26,25.38,4.99
19.61,30.43,2.84
10.79,11.92,1.67
17.83,26.68,7.55
21.48,35.84,3.11
15.71,23.06,3.34
16.44,26.14,3.91
17.65,27.95,1.73
7.5,6.78,2.95
19.6,34.01,6.48
20.14,31.15,5.21
21.62,33.66,4.01
18.96,29.62,5.61
19.92,31.44,2.25
11.58,14.55,2.82
25.53,40.98,2.11
16.73,27.39,1.5
16.67,25.68,4.62
16.78,25.12,2.82
20.47,32.11,4.97
23.85,42.7,3.91
26.09,44.98,5.08
21.91,29.93,7.24
