price,duration,wait_time
29.35,50.53,1.9
24.42,42.9,4.71
18.63,26.57,2.3
21.28,31.91,3.08
19.35,27.45,2.34
17.02,26.16,5.09
29.22,52.36,1.73
14.06,14.26,3.57
21.02,33.25,3.32
14.15,23.93,11.6
14.47,20.14,2.41
19.3,28.24,1.63
23.54,39.46,6.96
25.67,41.64,2.56
18.38,23.16,3.1
24.02,34.85,3.96
15.2,22.71,3.9
19.19,27.21,3.07
21.72,36.92,1.96
21.59,34.97,1.88
23.38,38.53,8.79
19.25,30.07,1.9
16.3,20.46,3.59
21.88,34.3,5.05
21.76,35.49,10.93
20.04,27.34,1.86
14.03,18.05,2.6
13.93,20.88,2.13
11.16,14.53,2.34
12.25,15.88,2.01
25.02,43.87,1.96
28.53,52.32,3.66
16.03,22.72,6.51
19.04,31.48,4.75
14.44,20.53,9.52
10.29,11.37,4.71
24.91,40.41,3.96
13.06,15.45,5.13
23.06,37.89,2.46
13.83,16.87,18.26
11.02,11.46,2.44
21.4,29.94,2.32
21.83,36.54,4.42
19.73,33.76,3.18
21.64,34.48,3.01
18.18,28.49,6.46
28.22,46.44,1.72
18.83,26.83,3.93
13.29,16.78,4.49
15.98,23.78,3.7
11.41,10.32,4.58
18.06,26.96,5.41
20.29,30.06,2.9
17.04,23.66,1.84
24.71,36.18,7.17
14.04,14.8,3.4
19.82,30.32,8.33
25.09,40.32,3.08
20.46,29.13,4.16
18.91,28.88,3.52
18.86,30.64,4.55
26.31,44.76,3.4
7.39,4.68,12.67
8.68,10,8.04
22.27,32.22,5.38
26.02,39.51,1.7
24.24,36.74,2.9
15.18,24.71,4.9
17.59,27.93,1.52
16.16,28.02,2.88
13.68,19.05,2.43
18.56,26.22,1.68
28.14,50.38,7.11
18.05,23.96,7.91
18.02,28.82,2.06
19.99,31.48,2.3
17.43,20.48,2.53
15.72,17.86,1.63
17.97,26.02,2.91
16.19,28.05,2.88
17.44,27.06,3.17
13.46,18.33,1.63
24.84,42.59,2.37
16.86,26.11,10.5
18.45,27.52,1.61
21.77,38.58,2.23
25.15,42.28,9.11
25.9,44.25,2.99
19.31,29.95,3.96
21.95,36.22,1.98
25.74,45.14,6.61
20.83,34.33,5.41
23.44,41.19,3.02
10.48,9.36,4.4
20.38,30.07,1.96
22.88,34.16,3.01
17.99,25.88,1.71
23.85,43.53,4.83
22.89,38.23,2.52
19.8,31.93,9.8
