price,duration,wait_time
20.64,31.04,4.3
9.92,12.79,2.24
20.99,35.81,2.27
17.14,24.88,7.55
23.64,40.6,5.56
18.43,29.4,3.8
23.88,36.87,3.59
16.62,26.38,6.92
22.14,38.55,2.45
18.37,28.1,11.22
19.01,27.47,1.87
17.95,30.94,8.39
18.31,27.88,3.18
23.13,34.71,2.16
19.15,28.51,1.98
21.1,35.66,2.1
25.36,42.32,3.99
20.75,33.37,4.29
14.97,17.7,2.69
16.77,22.88,9.72
26.6,49.71,4.09
17.6,26.89,2.09
18.77,24.38,4.61
26.29,43.87,1.65
20.43,33.68,6.29
19.01,27.86,3.21
21.83,33.99,1.88
19.21,28.27,3.32
19.02,29.53,4.89
24.77,46.31,1.91
22.92,40.17,5.46
15.05,19.17,3.06
20.27,28.33,6.94
14.9,23.79,3.55
25.27,41.56,2.18
18.55,24.26,3.18
20.02,22.67,6.13
18.71,26.13,3.58
14.95,17.31,5.2
26.8,45.35,3.63
23.27,41.74,2.91
9.24,6.07,4.19
24.15,39.17,3.35
23.89,39.05,4.8
14.72,19.07,2.45
18.29,31.7,1.88
14.05,15.61,2.97
27.58,47.46,6.79
18.04,29.02,1.54
22.42,34.78,2.95
35.46,62.66,5.62
13.13,14.61,3.11
16.1,21.75,5.34
14.36,18.89,7.09
24.35,38.65,4.6
26.7,45.78,1.55
15.96,22.95,2.84
21.4,34.05,2.08
15.38,20.37,2.34
11.74,14.31,2.23
17.69,28.07,6.55
13.73,17.16,3.75
20.37,31.11,2.41
11.44,13.44,2.59
22.46,36.03,4.64
23.3,38.75,1.64
19.17,30.44,4
20.29,31.78,8.96
15.57,20.34,3.29
19.79,27.56,2.21
25.09,40.81,2.94
11.6,15.07,2.07
21.24,32.88,4.31
17.79,27.65,1.96
26.71,43.93,2.38
22.18,37.02,2.33
18.42,26.99,4.18
23.39,37.2,5.05
17.69,30.07,6.93
23.6,39.97,2.33
17.72,25.8,2.61
24.21,36.51,5.77
16.52,22.2,3.4
28.35,49.34,1.64
15.63,17.65,3.36
26.77,46.67,3.84
21.32,33.28,1.77
14.26,19.91,2.23
18.19,21.89,4.51
18.44,27.73,1.7
16.93,28.38,1.67
14.93,23.23,1.76
21.1,36.24,1.71
16.27,25.17,3.82
18.32,28.09,3.63
19.47,32.33,4.13
23.96,41.65,8.27
15.85,22.78,2.28
10.07,15.75,2.46
15.7,23.62,3.1
