price,duration,wait_time
23.98,40.12,7.81
22.39,38.85,1.5
18.37,30.4,1.62
23.98,43.16,2.34
16.88,22.58,1.92
31.33,53.81,4.95
19.26,27.04,2.63
18.95,29.88,6.57
15.44,21.23,5.64
25.06,40.15,2.1
21.24,35.05,2.89
18.46,22.89,3
22.56,36.84,6.75
14.98,17.16,5.32
26.67,44.32,1.58
23.92,40.01,10.41
18.84,27.18,2.03
26.57,44.79,2.71
20.04,27.49,1.56
17.66,25.03,1.55
19.93,30.3,6.03
14.9,18.11,1.78
10.71,11.27,3.25
17.46,29.33,5.04
19.77,29.91,1.94
17.7,31.59,6.61
8.3,7.05,2.81
19.35,26.52,6.38
14.31,17.6,4.48
16.47,22.82,1.61
6.63,5.56,4.57
17.13,25.99,4.75
23.69,39.3,3.12
10.5,11.98,6.51
15.44,19.32,5.08
22.8,37.05,4.16
22.65,37.15,2.29
19.02,29.42,2.22
25.01,40.43,4.44
21.39,32.05,8.73
16.58,18.76,1.54
22.59,36.19,1.86
8.2,8.92,3.23
29.14,48.12,2.18
18.72,26.68,5.47
8.77,7.66,11.22
19.85,32.14,2.39
29.12,49.19,2.32
18.33,26.67,1.99
14.81,20.32,3.93
18.79,28.15,11.93
16.57,23.26,3.98
18.72,24.88,1.9
17.67,24.71,6.62
15.94,20.24,2.58
19.16,29.56,4.73
28.58,50.22,3.35
22.52,36.17,2.68
19.24,28.06,2.57
17.83,24.74,1.95
23.01,36.03,1.85
23.02,39.87,2.58
10.57,11.65,3.83
28.57,50.18,2.67
17.46,25.77,7.83
23.02,36.7,5.03
23.08,38.75,2.84
14.4,18.79,3.41
28.67,50.95,2
23.85,40.72,10.45
14.65,22.1,4.96
17.19,27.74,6.43
18.41,28.82,3.32
11.48,15,2.66
24.08,40.47,4.33
21.42,36.76,1.9
17.75,25.68,1.65
17.07,25.89,2.25
25.6,42.46,1.96
21.59,36.34,7.56
22.71,35.29,3.77
16.75,29.13,2.53
9.44,10.18,2.47
16.18,24.24,14.11
20.29,29.83,3.57
22.66,38.91,2.35
17.53,26.87,3.61
21.88,33.78,4.9
27.5,45.1,3.95
19.58,32.39,4.39
20,31.14,1.51
21.59,37.37,6.28
17.62,24.73,8.01
14.92,19.25,2.71
13.87,18.57,4.37
13.69,15.21,3.15
16.65,25.7,5.81
23.85,39.28,7.77
17.73,28.89,3.7
6.39,3.38,1.97
