price,duration,wait_time
13.94,17.39,3.75
17.47,28.13,3.28
21.98,35.07,10.33
17.62,24.45,5.48
19.57,25.82,7.87
26.16,41.84,2.05
19.58,30.48,4.61
20.47,34.1,5.03
20.2,32.9,2.21
26.93,47.68,4.03
22.84,34.9,4.74
27.77,49.87,8.42
21.29,30.53,1.86
18.59,29.06,4.34
12.27,19.27,5.02
16.96,26.47,4.46
19.46,29.06,1.68
17.31,23.8,13.79
17.73,23.02,4.9
29.06,50.22,6.91
23.93,39.39,2.41
20.57,33.92,5.24
12.39,20.85,4.21
17.88,29.56,6.79
21.39,35.1,7.96
24.9,40.82,4.13
20.85,30.34,8.06
24.21,41.03,5.15
19.68,33.9,4.79
15.63,23.28,2.76
13.91,14.57,5.13
21.32,34.75,1.77
31.87,56.13,2.92
17.46,27.06,8.12
17.67,23.8,2.13
22.36,35.04,1.65
18.81,25.8,6.26
13.09,15.09,1.94
16.99,25.01,4.37
13.83,17.9,5.95
23.65,40.35,7.85
16.51,25.81,3.1
18.28,30,12.16
25.05,42.21,6.84
17.4,25.02,6.88
25.26,40.02,2.55
23.86,41.63,1.81
15.5,19.69,2.51
17.17,25.45,2.15
11.36,13.41,1.73
11.64,13.44,1.91
24.13,39.63,5.23
19.42,27.5,2.16
28.52,45.26,1.69
25.61,39.82,5.5
19.27,27.78,2
20.71,33.04,6.42
24.86,38.79,9.87
24.48,42.94,3.79
12.51,14.11,2.01
17.14,23.76,13.98
15.39,21.64,4.69
24.13,39.37,2.59
20.85,27.06,2.85
22.7,36.09,1.5
26.34,40.86,2.38
12.94,15.46,14.02
23.45,37.19,6.55
16.92,25.45,6.47
11.72,14.9,5.19
21.43,32.01,1.58
10.44,11.66,4.07
19.91,30,2.61
15.22,22.19,4.5
16.15,23.22,2.35
13.59,19.63,5.8
15.91,19.65,2.2
12.42,15.5,5.29
23.05,42.03,4.31
18.87,28.56,2.32
24.78,41.05,2.09
23.46,37.94,2.3
30.74,54.44,5.63
27.89,47.87,5.2
20.65,32.31,10
13.88,19.86,9.38
16.77,24.47,3.83
13.05,20.97,7.18
19.09,24.88,2.87
23.43,44.87,5
14.3,18.75,2.56
18.96,28.85,2.23
21.19,31.31,3.97
17.16,28.66,1.73
18.66,26.3,5.96
20.52,29,5.41
26,44.62,5.98
12.37,16.2,2.01
16.01,22.7,1.55
29.25,50.71,1.72
