price,duration,wait_time
26.96,48.54,7.85
21.63,36.97,2.35
19.36,31.13,1.77
24.1,39.87,4.15
16.65,24.83,12.11
17.15,26.41,1.77
18.81,28.23,1.76
23.25,39.99,4.32
19.78,33.84,3.81
20.39,30.46,1.8
21.98,37.32,3.78
21.02,30.5,5.49
16.3,23.41,4.96
23.6,39.41,4.37
23.02,39.9,3.24
15.51,22.47,3.71
16.19,24.88,3.32
24.89,36.07,2.45
26.52,44.38,3.95
21.95,35.54,3.6
19.2,30.11,4.93
12.28,14.34,1.79
13.71,18.29,6.54
13.44,17.47,8.01
17.94,25.26,1.72
17.62,26.65,7.34
16.24,21.68,4.69
17.64,24.42,1.87
16.27,21.09,5.9
11.64,9.2,10.06
20.79,31.57,2.77
15.82,22.86,2.58
20.91,30.29,5.5
22.86,40.45,6.43
20.14,31.15,5.21
20.67,31.29,2.2
20.55,34.55,4.03
16.41,25.32,1.62
19.38,23.53,4.11
23.39,41.66,11.38
20.58,33.8,7.61
19.47,29.46,1.95
21.16,31.75,4.97
22.23,35.24,2.05
25.67,42.65,2.8
24.86,42.06,1.69
12.82,14.52,3.69
14.51,17.68,4.07
21.75,39.81,1.69
17.12,24.04,1.74
16.92,22.25,3.2
17.77,27.5,3.27
13.61,19.56,8.97
21.19,34.34,14.55
23.4,39.19,8.81
25.28,43.62,1.94
19.86,32.14,4.03
22.75,38.89,4.39
21.46,37.17,7.63
19.49,33.02,3.09
16.62,23.31,2.35
14.7,22.25,4.95
24.27,40.53,1.81
14.49,18.32,3.57
18.63,31.58,2.26
19.6,31,8.78
21.41,35.58,1.9
13.19,16.21,2.02
20.75,31.58,3.09
19.37,31.01,1.55
32.1,58.58,3.68
23.37,38.86,6.23
23.06,35.05,4.09
15.76,23.23,5.14
27.49,50.32,3.52
22.42,35.03,5.29
10.91,8.09,5.93
21.36,33.66,5.78
17.21,25.7,5.7
23.51,38.04,1.53
18.27,27.31,3.82
10.76,10.88,4.23
16.99,25.58,2.67
22.38,35.59,4.9
16.04,22.85,4.25
20.93,32.21,2.02
20.49,32.41,4.92
16.6,26.26,2.79
20.37,34.23,2.38
17.11,24.59,1.8
25.19,47.25,2.16
18.37,30.49,5.37
19.95,31.91,1.98
28.72,49.71,2.18
15.43,22.39,2.08
11.81,13.89,4.55
16.92,21.97,2.53
17.15,23.27,3.21
20.22,29.9,4.9
11.11,9.94,2.64
