price,duration,wait_time
13.16,16.55,8.83
11.52,12.27,16.61
23.78,44.51,3.45
28.82,45.72,2.87
24.09,40.14,2.6
24.92,43.82,5.49
14.86,19.8,5.25
14.56,22.88,4.82
11.72,7.38,4.23
21.67,33.35,2.39
17.29,22.34,2.56
24.41,41.01,9.27
24.57,33.44,5.19
18.81,28.9,7.89
13.23,16.77,4.14
26.87,41.85,6.44
19.79,31.51,2.02
19.2,30.87,2.86
17.45,27.06,4.01
26.65,42.27,1.59
20.14,32.54,7.3
15.05,19.56,2.06
21.2,38.1,2.67
21.62,32.84,2.7
22.25,35.87,2.69
11.91,13.93,3.38
17.66,26.34,2.04
12.02,14.5,7.25
23.46,36.52,5.53
16.8,21.6,1.92
23.43,36.54,8.54
20.66,32.4,2.34
15.12,18.71,2.45
28.37,50.3,4.16
19.79,30.08,3.11
13.07,15.44,1.66
16.86,23.35,2.52
24.5,43.46,2.11
16.27,23.58,2.15
19.14,30.96,4.41
19.85,29.18,1.64
12.02,14.41,4.88
22.2,35,2.18
13.45,17.06,6.27
16.81,27.37,9.23
18.09,28.98,3.41
21.14,34.26,2.52
20.99,29.65,3.64
13.88,18.04,2.29
17.91,24.61,1.74
16.24,22.39,5.32
9.16,5.36,2.33
11.46,16.86,6.39
20.74,32.53,5.3
22.82,37.42,3.42
27.45,49.35,2.54
13.15,19.69,7.4
20.9,35.63,1.97
18.71,29.8,12.91
27.67,45.2,6.57
20.33,30.37,2.41
26.62,45.23,6.08
27.64,46.33,8.61
15.6,21.84,1.67
16.85,22.68,4.47
21.9,35.21,4.95
16.61,25.91,2.34
12.37,14.42,3.01
21.12,31.71,2.03
14.23,25.32,1.78
22.07,35.09,5.23
20.68,31.55,1.63
17.98,25.44,2.95
18.64,29.24,2.7
16.89,25.27,3.15
10.79,9.25,1.74
23.21,40.34,2.33
7.3,5.69,2.32
17.18,24.6,2.77
19.86,29.12,5.29
12.94,15.46,14.02
25.32,37.85,1.94
16.36,19.79,4.54
20.99,34.35,1.92
21.48,37.36,14.13
18.16,24.75,3.43
22.56,32.23,2.35
17.73,26.95,2.41
20.77,34.04,2.05
17.02,23.42,2.85
23.56,36.06,1.56
21.61,33.05,3.9
23.09,39.78,3.11
23.19,37.8,3.22
23.49,38.23,3.62
19.45,33.99,2.61
13.34,16.7,1.84
23,38.35,9.2
20.91,31.15,5.43
18.28,29.41,3.18
