price,duration,wait_time
15.23,23.87,9.68
17.91,26.13,2.27
11.98,11.53,2.44
23.6,37.96,4.42
25.34,44.2,6.23
20.18,31.29,8.3
22.27,35.6,1.66
15.14,21.22,2.56
17.41,26.4,12.89
8.57,6.5,2.16
15.13,18.56,1.98
21.06,35.84,1.71
19.26,26.88,5.58
28.24,48.35,2.04
14.39,21.19,4.25
22.37,37.61,2.78
12.69,13.54,4.22
23.57,37.99,4.11
21.47,33.75,6.48
19.52,29.16,2.5
21.55,38.61,4.82
16.87,26.92,4.66
15.82,22.86,2.58
18.06,25.73,3.1
23.1,35.73,2.03
23.64,38.03,5.22
23.65,42.45,6.2
19.28,33.09,2.73
13.88,16.02,4.9
18.1,27.82,1.51
18.26,25.79,4.31
21.38,35.5,2.01
11.02,14.2,3.03
25.03,40.42,11.21
18.41,26.39,5.6
20.55,29.63,2.48
15.9,22.92,11.77
36.03,64.19,3.15
19.45,30.33,6.24
21.63,32.29,2.09
18.73,30.63,11.52
11.24,14.83,10.96
24.48,39.76,4.99
14.06,19.89,2.45
24.89,36.07,2.45
32.86,55.68,10.73
16.86,25.96,1.71
16.44,24.73,4.76
19.57,30.08,2.57
15.92,18.04,2.43
18.51,27.69,3.94
16.58,19.9,8.74
22.86,33.29,2.23
21.48,34.38,1.98
24.5,38.59,4.73
15.42,22.43,6.43
17.31,27.04,3.5
32.6,60.59,4.18
19.85,31.62,2.4
16.73,24.56,6.55
18.27,24.09,7.84
19.66,29.17,3.41
8.64,10.12,9.37
14.67,19.4,4.45
19.05,26.63,12.49
13.06,19.11,2.04
17.22,23.06,5.74
22.89,42.98,3.01
17.24,26.97,2.35
13.78,14.45,4.21
24.68,42.15,5.29
13.78,21.4,8.67
27.68,43.79,5.88
18.16,32.21,2.54
17.43,27.99,1.5
28.55,48.21,2.22
22.77,35.55,3.83
20.98,32.45,12.67
17.97,27.13,3.3
24.18,40.19,2.87
24.52,40.54,9.24
16.54,21.16,5.69
23.87,36.36,1.85
25.63,42.37,2.08
21.98,34.95,4.86
17.69,21.34,10.4
26.47,45.23,8.13
18.35,23.52,1.87
8.69,7.02,4.93
26.79,42.88,3.26
20.79,30.68,3.59
22.79,37.9,1.96
12.64,16.7,6.37
21.92,27.97,4.93
16.86,28.39,11.49
25.22,41.71,1.73
10.67,13.67,2.31
24.43,41.32,1.77
22.1,42.82,3.09
20.98,37.06,2.23
