price,duration,wait_time
23.46,41.37,1.95
17.32,21.98,2.81
24.29,39.86,1.67
17.2,27.06,5.31
16.93,28.92,3.17
16.57,22.69,1.94
25.08,42.65,7.27
18.61,25.57,9.71
22.71,36.35,1.62
13.08,17.46,3.2
31.58,53.47,4.27
19.46,27.85,3.57
15.82,22.49,1.59
17.41,25.72,2.07
20.75,35.18,2.24
23.33,35.43,2.36
21.49,37.33,7.81
16.62,25.84,5.67
18.21,25.79,2.06
15.95,18.2,5.73
20.25,31.88,2.46
17.08,24.58,2.57
11.51,17.56,1.66
22.08,36.81,1.54
24.37,43.75,3.66
19.68,30.16,7.4
20.87,31.08,2.38
25.25,43.71,1.97
24.99,41.74,1.93
20.84,30.09,2.03
22.91,36.85,4.15
21.22,37.69,7.92
25.99,43.34,3.68
24.21,39.65,11.79
22.58,35.56,5.86
23.27,41.2,4.28
15.05,20.29,1.86
22.09,36.04,1.69
14.29,14.34,5.37
14.03,17.02,7.65
18.7,30.45,14.28
18.38,29.09,5.64
15.28,23.41,2.58
16.29,27.05,1.73
19.03,27.45,6.68
17.18,26.89,4.1
19.26,26.26,5.19
15.91,25.03,8.41
19.82,32.64,2.41
16.85,24.61,2.72
20.2,28.93,4.08
24.63,42.86,7.59
20.93,37.84,6.33
23.45,37.46,5.62
19.57,31.89,3.86
21.56,34.26,9.58
23.75,40.21,4.27
19.87,30.89,1.73
17.31,24.57,1.7
23.99,39.44,3.37
26.11,45.91,3.52
12.45,14.48,6.68
13.4,20.58,2.38
18.26,28.89,11.04
18.58,28.8,4.34
13.87,16.48,1.96
20.04,27.8,3.45
18.04,23.75,1.71
30.77,53.79,2.36
33.3,60.21,2.67
25.34,40.48,1.89
25.08,42.3,1.84
19.11,30.7,2.13
24.21,39.2,7.71
13.25,15.69,3.01
23.72,41.85,3.58
24.64,41.89,2.22
18.49,26.18,3.26
27.35,49.1,3.51
20.12,31.46,6.63
17.14,25.82,3.36
27.78,46.09,2.77
22.41,35.56,2.37
15.48,21.62,2.34
20.25,30.67,3.01
29.51,51.34,9.44
24.96,40.95,9.7
13.17,18.87,3.08
12.12,15.24,3.27
20.17,31.19,3.05
15.86,22.11,7.28
13.11,16.05,5.97
24.42,42.03,1.99
27.76,47.76,4.15
18.04,26.03,4.73
32.31,53.24,5.66
28.61,53.72,3.81
15.04,22.47,12.36
26.8,49.78,7.65
16.82,25.48,4.52
