price,duration,wait_time
21.67,40.04,14.75
16.67,25.68,4.62
27,42.2,3.03
9.89,5.56,1.62
12.87,14.23,6.99
25.2,39.57,3.9
19.82,31.37,2.13
19.81,31.78,1.59
18.43,24.93,6.63
25.6,45.05,9.38
28.79,48.52,4.72
11.4,14.01,6.14
20.29,30.74,3.39
18.41,24.77,1.64
18.44,29.78,2.34
16.48,22.36,3.08
18.71,30.71,6.17
24.36,42.12,6.16
20.54,35.97,1.61
11.7,11.73,7.7
23.64,38.03,5.22
15.42,20.78,3.17
20.31,30.72,1.72
13.65,15.07,9.29
18.59,29.39,4.76
16.81,27.92,3.88
20.85,30.96,2.05
25.39,41.59,3.25
11.9,13.54,6.18
20.59,30.96,1.86
10.79,11.53,2.77
11.29,11.54,7.96
21.4,35.21,4.88
21.49,36.14,2.75
23.74,34,3.43
23.3,39.5,1.64
17.02,28.42,4.91
14.43,18.55,4.28
15.94,22.33,10.02
13.46,14.07,2.33
21.76,35.94,3.69
21.8,36.31,3.04
23.24,41.86,2.26
19.7,29.92,3.79
24.74,42.31,7.23
22.3,36.57,6.99
15.25,16.04,3.76
19.05,29.73,3.65
23.47,32.65,1.62
25.27,44.84,1.76
16.41,23.43,1.66
16.14,19.4,7.19
19.8,30.36,3.1
21.05,37.48,5.55
13.7,16.53,10.28
13.29,18.06,2.26
17.14,22.24,8.99
23.71,36.93,8.37
17.57,24.47,3.55
18.48,32.03,4.14
20.09,29.76,1.88
21.25,33.94,2.77
23.6,43.01,1.69
26.02,39.12,4.89
8.48,5.86,6.96
24.14,40.92,1.7
19.74,29.44,2.78
24.18,39.98,2.45
20.31,29.45,6.51
17.9,27.33,4.65
27.11,47.88,1.66
21.07,37.37,3.9
21.29,36.15,1.97
18.15,28.55,8.13
22.24,33.79,1.54
17.06,24.55,3.27
18.49,25.68,5.59
18.07,27.46,6.45
23.61,40.16,5.96
19.55,29.41,3.5
19.89,31.83,10.27
19.41,28.14,2.11
16.18,21.81,6.86
17.97,27.21,5.46
21.6,35.45,5.76
12.53,17.31,3.46
23.9,37.13,7.75
11.21,10.99,8.06
25.8,40.33,4.69
19.6,30.73,4.33
31.05,51.22,10.6
15.64,20.91,8.63
19.19,29.59,3.35
16.79,28.1,4.11
23.62,38.13,1.8
16.92,27.45,3.15
11.62,12.44,3.48
29.81,50.14,7.57
26.2,41.72,1.7
16.2,24.58,4.03
