price,duration,wait_time
17.15,26.04,4.91
21.56,35.34,8.76
18.12,28.53,1.99
19.29,28.93,2.26
17.33,27.86,2.1
18.15,29.57,1.95
19.39,31.83,3.6
23.16,38.54,2.16
18.69,26.73,3.77
19.34,30.44,3.35
32.29,59.23,11.92
12.01,13.95,3.84
22.17,37.6,4.68
22.53,38.64,1.78
14.69,22,5.11
10.49,9.55,2.31
18.57,24.7,4.63
11.41,13.33,7.26
21.69,35.04,10.62
24.36,38.83,1.88
19.89,29.09,7.21
17.09,22.46,3.23
18.63,28.81,1.82
14.12,17.38,2.19
18.43,24.49,4
19.29,28.88,2.28
18.87,31.27,4.23
16.19,22.21,1.71
19.01,30.75,4.13
22.11,34.76,1.95
23.05,40.86,2.51
28.51,49.25,3.72
23.07,37.79,6.07
27.08,46.67,4.46
22.91,37.1,7.93
13.76,17.25,3.41
16.2,22.68,4.29
20.47,32.11,4.97
21.67,40.04,14.75
16.27,21.75,4.64
26.56,42.99,10.21
20.21,29.02,24.05
8.37,4.53,2.55
24.34,38.75,16.87
23.12,38.33,4.62
19.22,22.91,2.82
18.09,27.18,2.2
21.89,32.98,4.87
13.5,17.91,2.49
14.21,18.13,3.54
18.19,26.24,2.61
16.42,25.77,5.69
24.08,36.98,5.96
17.37,27.32,2.81
26.68,41.71,13.28
30.23,52.93,5.15
23.19,37.78,6.17
22.01,36.58,3.89
25.22,44.01,4.59
14.78,23.17,3.89
18.94,30.59,2.54
13.2,15.33,3.86
17.39,22.34,5.55
22.66,35.56,10.14
15.78,20.44,3.11
20.75,34.82,8.59
23.08,41.03,4.65
22.47,36.25,3.28
28.83,50.53,3.7
22.31,36.4,6.74
18.41,30.51,2.62
17.84,28.22,5.65
30.92,54.1,2.05
26.17,45.41,5.55
18.05,27.95,2.84
21.46,32.9,5.81
24.67,39.92,2.63
14.56,18.49,6.06
14.06,17.09,4.59
9.74,8.19,2.01
22.57,35.63,1.62
23.18,37.17,1.6
19.82,30.17,2.37
16.38,23.1,7.54
13.9,18.71,3.25
15.26,22.55,1.76
22.76,39.28,3.51
20.46,35.53,2.89
15.55,24.58,2.94
24.39,38.67,6.79
21.29,39.27,1.62
15,18.98,3.2
20.05,29.87,4.51
11.68,16.34,6.6
18.67,28.32,6.83
21.53,33.81,2.76
14.23,23.79,8.47
28.92,51.35,2.4
13.84,15.57,2.89
15.74,24.2,3.79
