price,duration,wait_time
24.82,40.25,3.51
14.62,25.18,1.63
11.93,9.54,2.26
14.62,21.63,4.98
26.29,45.62,3.2
22.05,33.51,6.13
26.95,43.79,3.34
7.71,8.73,2.07
17.78,25.57,12.09
23.69,38.84,2.14
13.63,20.39,3.67
18.45,26.94,8.42
29.84,47.45,6.5
27.63,49.94,1.75
16.42,23.24,2.98
14.49,18.37,3.87
25.55,44.52,4.91
20.59,29.02,1.64
17.21,22.99,4.85
20.55,28.36,4.54
16.18,23.16,9.1
15.58,19.97,1.85
30.61,54.97,5.11
15.14,20.2,5.21
23.85,38.23,3.49
13.66,15.3,5.89
27.76,48.71,3.64
24.64,40.11,3.6
19.55,29.55,1.71
14.1,19.33,1.96
15.67,24.33,3.88
15.06,22.74,2.7
14.52,19.63,3.54
16.24,30.68,14.79
10.38,14.08,12.27
22.9,37.8,3.99
28.74,54.71,6.2
23.94,40.19,5.39
20.31,29.95,11.33
17.42,26.24,1.55
14.27,21.89,8.02
26.9,41.36,4.16
17.43,27.48,8.36
22.58,35.66,2.06
14.02,19.76,4.16
23.31,35.4,1.92
26.02,41.75,2.09
12.41,15.29,3.11
26.18,47.51,3.58
21.12,32.45,9.3
16.15,22.64,3.18
21.89,35.34,7.71
17.32,26.89,2.93
17.2,26.06,2.45
18.13,28.35,3.32
19.85,30.65,2.7
18.96,30.11,6.2
25.07,46.41,2.07
23.36,37.28,1.52
23.66,35.88,2.49
18.99,28.67,4.86
14.67,21.69,1.95
20.31,37.3,10.32
26.89,46.17,11.18
13.68,14.39,2.81
21.38,32.28,8.99
23.24,37.05,2.91
20.75,30.24,2.48
22.29,35.03,6
14.04,20.31,15.87
25.86,42.5,2.65
20.84,37.56,8.54
12.82,16.18,3.05
17.83,24.54,7.56
12.9,16.87,4.72
18,25.92,3.46
21.67,31.16,13.02
15.24,20.44,13.21
20.91,35.46,10.23
11.8,12.35,2.96
24.44,42.3,2.51
25.97,45.34,5.25
18.82,25.18,1.7
16.43,26.93,4.31
16.18,24.24,4.19
21.17,34.94,1.54
19.59,30.1,4.82
13.42,18.46,7.88
14.41,20.02,2.35
12.97,13.92,2.37
21.34,35.29,3.07
21.93,31.62,8.86
16.4,21.93,3.52
20.43,34.06,5.01
16.74,25.93,2.19
24.46,40.59,1.64
21.76,35.24,6.34
16.91,25.8,1.82
23.07,31.33,1.95
25.81,44.59,4.72
