price,duration,wait_time
18.1,24.84,2.82
21.24,34.56,3.01
18.22,30.95,4.46
16.91,22.28,1.89
15.68,25.17,9.47
16.49,21.61,2.91
17.96,29.78,1.55
16.2,21.53,3.76
19.05,30.19,6.19
20.44,32.86,6.85
17.1,22.91,2.45
15.21,17.55,2.31
22.45,36.55,2.61
24.91,41.7,2.27
26.1,45.22,1.65
12.49,14.33,2.41
22.62,38.24,8.4
16.47,20.76,2.24
17.8,27.13,1.79
18,25.04,1.62
20.92,35.17,2.09
21.5,35.96,5.32
23.99,39.96,2.33
21.56,32.54,5.37
19.15,27.88,2.42
27.5,45.17,3.34
20.53,35.06,2.64
23.62,36.72,6.08
13.5,18.87,6.84
14.04,23.78,1.84
22.66,40.18,6.24
16.94,23.58,6.09
17.32,27.69,3.18
26.06,47.62,6.95
15.12,20.47,4.51
8.82,5.02,1.68
30.25,53.29,3.4
7.23,4.45,2.24
24.98,40.42,3.34
16.3,23.74,2.55
18.46,28.63,7.61
17.33,24.09,5.35
10.65,10.36,4.05
26.39,46.94,12.33
19.13,30.13,2.97
27.74,49.06,6.13
19.26,30.07,12.31
14.91,17.09,2.24
18.69,28.85,2.65
12.96,14.99,1.58
25.48,41.99,9.88
13.97,22.4,2.59
17.7,22.49,3.95
22.8,34.98,2.06
15.91,22.4,2.29
16.04,18.53,3.66
26.67,48.12,5.41
11.65,9.71,2.06
14.92,23.1,3.27
16.16,23.74,2.43
26.03,45.21,4.78
20.03,28.75,4.14
12.9,13.41,2.68
24.86,42.83,5.45
26.92,49.23,1.69
18.67,27.87,4.28
19.39,30.48,5.04
15.89,22.29,2.41
19.75,30.58,7.37
17.02,24.02,3.08
21.67,33.5,2.61
26.38,45.92,2.98
14.89,20.03,2.31
19.11,30.75,2.43
25.7,42.32,1.73
22.41,33.95,3.47
18,27.81,1.71
18.49,29.58,4.65
14.87,17.71,2.23
20.48,33.83,1.9
20.51,31.81,1.65
21.16,29.38,3.56
13.6,13.84,8.75
21.08,33.31,2.01
16.44,26.29,2.05
23.38,40.53,12.12
22.24,34.53,11.06
15.57,20.6,3.94
25.11,40.11,3.55
18.49,25.34,6.08
28.12,50.57,2.86
11.7,11.83,1.6
22.32,37.85,9.53
24.73,43.37,9.8
22.09,33.72,5.23
25.74,42.18,3.98
12.9,11,2.85
11.64,15.23,2.98
12.32,10.46,6.02
12.62,13.57,1.89
