price,duration,wait_time
21.32,33.1,7.48
15.31,21.22,2.26
22.41,35.19,8.19
20.23,32.1,2.49
11.33,13.02,3.71
15.83,23.88,2.58
19.97,31.64,4.41
19.97,33.37,2.09
21.83,33.27,7.59
25.66,39.98,3.61
19.01,30.02,5.12
29.07,49.25,2.4
25.7,45.88,2.42
13.66,17.13,7.47
22.02,32.14,2.32
14.76,19.59,4.43
16.39,25.2,3.34
16.43,24.85,4.43
27.28,43.95,4.91
13.6,18.65,4.09
8.07,4.83,4.88
19.21,30.82,4.71
25.84,46.29,5.54
14.56,19.77,2.56
17.15,22.9,2.14
12.88,12.7,3.42
13.71,17.12,4.13
16.5,25.13,4.75
15.6,24.93,3.23
18.16,26.89,4.51
20.65,32.5,12.65
23.11,35.83,2.86
16.34,25.29,1.79
20.49,31.92,4.09
20.1,35.99,8.67
18.82,33.23,2.04
13.68,18.31,3.08
18.6,28.27,5.89
10.37,10.06,4.43
19.62,35.66,2.65
16.72,25.49,6.14
15.09,21.83,1.81
22.18,34.66,1.79
15.22,22.01,1.86
14.43,20.92,5.8
12.68,15.95,3.68
16.4,23.4,11.32
20.54,34.27,6.77
15.92,21.68,9.76
25.61,44.86,4.24
36.64,67.57,9.91
16,22.97,4.42
28.22,48.26,5.79
15.83,24.72,3.9
25.52,36.87,2.11
22.68,36.65,1.64
15.71,23.33,2.51
22.65,35.61,3.79
22.34,34.4,1.63
19.41,27.61,9.94
17.07,24.33,2.23
21.58,34.64,4.44
21.52,34.6,3.48
19.4,28.87,4
19.54,28.16,2.02
20.31,34.76,6.34
18.91,24.84,2.67
16.75,26.05,11.57
25,39.2,2.97
16.5,22.27,6.44
13.39,18.13,3.18
22.21,34.19,6.2
14.59,19.29,3.75
25.28,41.33,3.16
18.81,31.77,3.42
21.4,30.34,3.24
22.8,36.7,2.89
14.18,17.6,6.3
22.83,35.6,2.76
16.64,22.02,7.3
19.27,33.59,3.31
19.67,27.17,4.46
19.77,30.31,4.88
18.09,25.08,1.92
15.18,22.9,4.24
22.64,35.44,8.29
11.33,13.92,4.58
21.37,32.43,14.83
11.15,18.97,2.15
16.93,27.14,6.14
26.53,46.32,10.01
20.21,31.85,4.83
24.16,34.97,1.82
13.38,17.87,2.4
18.74,30.29,4.7
25.3,42.72,5.07
22.48,34.59,1.85
13.79,20.42,3.13
19.55,29.87,1.96
21.67,38.03,5.02
