price,duration,wait_time
16.12,25.92,10.93
21.23,37.29,7.71
24.11,42.31,2.11
10.24,12.79,8.64
17.98,23.56,1.55
28.16,46.09,4.38
19.55,29.87,1.96
26.75,47.8,3.97
14.83,22.94,2.28
17.02,25.98,2.63
19.16,29.29,2.18
18.16,26.39,3.71
17.68,27.16,2.04
21.14,32.54,2.85
11.15,15.43,2.48
28,50.27,5.13
20.67,35.99,2.58
21.52,35.3,4.61
13.87,18.35,1.62
26.72,48.64,3.39
23.73,42.13,1.91
16.43,24.27,2.06
26.17,41.02,2.75
23.28,33.09,3.73
18.76,23.18,2.5
16.99,25.97,2.04
25.52,43.53,3.83
9.99,9.1,10.61
12.12,15.21,2.86
22.69,40.85,8.37
10.67,9.82,10.58
20.31,32.66,1.69
21.57,33.19,2.82
15.87,19.78,2.69
18.85,28.61,6.34
25.83,45.8,14.84
17.88,27.33,2.04
22.38,35.54,7.89
18.98,28.02,6.29
17.75,27.48,3.47
21.72,34.07,2.45
19.22,27.4,4.88
17.46,24.68,5.47
17.18,26.53,2.35
22.43,38.53,8.53
23.05,40.54,4.13
21.58,39.06,1.65
17.93,29.28,6.94
18.99,25.05,2.26
16.01,22.09,3.3
13.83,19.68,3.88
22.72,35.68,2.73
20.94,35.83,5.39
22.66,32.28,2.51
21.49,37.2,1.67
25.27,41.59,7.81
18.35,26.21,1.78
16.21,22.31,4.38
21.41,36.86,5.71
19.15,32.05,4.2
13.6,17,2.13
25.2,42.63,7.5
17.74,20.63,1.59
21.63,33.6,3.06
18.76,27.87,8.98
23.27,41.2,4.28
22.57,36.73,5.24
17.14,25.35,4.59
10.99,10.76,3.49
20.93,29.96,5.57
15.59,23.99,1.69
9.44,7.98,3.96
28.22,47.91,22.89
22.06,34.81,5.73
14.82,22.75,7.31
21.46,32.63,3.42
14.42,19.91,1.94
12.96,17.19,3.47
16.21,23.47,3.58
11.99,14.53,7.88
14.93,18.41,1.72
20.28,35.1,2.14
17.92,27.09,2.19
24.41,41.57,2.19
16.73,24.82,5.9
16.03,22.72,4.98
9.26,8.93,5.04
12.01,10.45,6.24
15.6,19.78,8.17
21.27,35.27,3.85
16.38,21.47,7.66
14.21,19.63,3.79
11.94,15.23,6.12
17.07,26.55,2.99
22.95,37.95,1.72
24.28,39.71,2.59
18.72,30.01,2.7
25.23,43.44,5.06
9.16,5.1,2.03
15.99,21.24,2.54
