price,duration,wait_time
17.34,28.05,2.72
19.15,24.87,4.49
20.55,31.96,2.29
12.8,14.44,4.7
32.58,56.77,3.08
17.37,26.75,9.55
20.89,32.84,3.03
11.45,9.98,10.43
13.41,15.97,2.87
16.52,21.87,8.63
15.82,24.09,2.31
22.93,34.06,2.88
19.35,32.35,2.86
17.22,24.45,2.3
15.67,18.28,6.82
11.55,14.03,2.26
14.13,18.79,3.78
23.86,41,5.68
19.04,27.22,1.98
25.78,37.52,4.15
17.69,22.57,3.19
22.93,38.81,6.22
22.3,37.5,1.91
13.94,19.31,4.33
22.26,35.8,5.17
22.5,34.24,3.87
15.67,23.66,4.54
7.53,4.76,1.5
23.5,38.97,5.81
16.31,25.12,2.11
6.01,4.66,8.59
22.4,35.53,4.18
14.28,18.22,2.67
16.88,26.68,4.25
15.35,18.9,3.82
19.27,33.59,3.31
25.32,40.25,12.92
21.45,33.2,3.43
19.88,29.36,1.67
12.52,15.28,7.64
22.27,32.24,1.54
20.36,34.17,1.52
11.04,16.37,8.14
21.27,32.44,1.71
22.45,39.72,7.54
15.83,22.12,5.25
7.93,6.43,5.74
24.92,36.87,6.6
17.36,30.32,10.6
16.45,21.38,5.27
13.9,20.99,4.83
21.63,30.99,3.56
29.24,50.45,1.63
25.11,39.51,1.96
20.26,31.44,2.66
23.42,40.58,6.02
16.89,24.44,2.36
23.79,37.31,3.77
20.33,28.78,3.54
21.4,33.83,3.26
18,26.4,7.03
17.47,24.9,7.9
19.14,30.35,2.17
25.04,41.84,2.58
28.13,49.52,6.06
22.29,34.34,6.02
16.92,23.09,4.02
24.91,41.79,4.01
15.22,21.33,5.6
21.02,37.43,3.4
21.34,38.75,6.31
12.05,17.15,12.2
18.18,28.15,1.98
24.75,40.69,2.62
23.84,39.67,7.02
11.54,11.7,2.13
10.1,5.85,3.55
17.48,23.87,1.56
11.46,14.04,2.46
24.69,41.7,2.18
19.95,29.8,6.85
16.82,25.45,3.41
18.48,23.34,3.16
18.76,29.2,2.25
19.8,31.65,2.4
23.26,34.21,1.71
20.2,29.91,3.36
13.95,14.4,1.74
24.15,38.07,2.7
22.34,37.38,2.62
28.37,48.54,3.1
16.77,21.77,7.59
22.14,33.71,1.83
16.29,23.52,1.55
20.13,26.53,8.29
19.66,27.82,3.76
21.85,34.79,5.65
17.51,30.66,2.87
13.9,16.18,4.04
18.3,26.55,1.97
