price,duration,wait_time
17.31,22.74,2.63
22.84,36.62,7.14
23.52,37.53,6.32
26.14,41.07,3.07
31.22,54.81,1.54
25.05,38.81,2.73
14.51,19.85,2.99
13.14,17.77,3.85
14.12,18.5,9.75
19.83,33.44,6.76
15.74,25.94,6.72
18.58,29.54,3.12
15.07,21.19,3.36
22.3,36.11,4.92
19.52,31.15,6.69
17.55,27,3.03
24.87,42.31,1.93
19,28.65,2.92
23.43,38.43,10.08
19.43,30.91,3
12.47,16.6,4.96
29.25,50.71,1.72
15.65,23.57,2.87
27.98,47.23,2.15
15.35,21.72,4.72
25.06,43.95,5.39
20.5,31.91,1.9
18.49,29.6,1.58
18.65,25.43,1.95
18.4,28.36,3.92
15.61,24.93,1.81
14.23,22.77,8.43
17.54,25.59,3.22
19.87,31.28,2.18
9.59,10.41,14.86
8.84,5.41,1.89
16.1,21.6,1.74
16.86,24.26,1.99
15.91,25.64,2.29
12.45,19.56,1.77
22.93,35.96,4.28
18.86,27.54,2.26
23.56,39.51,1.65
12.15,11.04,5.58
19.51,28.56,1.76
27.13,44.91,2.49
24.51,41.47,13.67
22.71,40.85,2.43
15.94,24.34,7.14
21.04,35.14,4.19
17.47,24.9,7.9
12.92,14.15,1.55
8.2,9.55,2.96
19.83,30.83,10.58
25.1,41.87,3.03
18.63,26.6,9.54
22.02,33.31,2.96
18.81,27.64,1.55
23.65,41.16,5.57
18.33,28.7,2.23
15.58,21.33,2.42
10.35,10.96,11.24
20.6,29.53,3.64
12.32,11.6,2.04
27.8,47.45,3.27
22.28,40.17,4.79
16.86,22.21,10.45
37.17,68.4,2.63
21.29,36.17,5.42
20,32.06,1.9
25.32,42.64,11.95
12.29,16.5,7.53
11.43,13.44,3.3
17.44,25.27,3.14
16.75,23.74,5.16
25.37,46.32,8.55
25.19,39.34,5.06
16.87,22.49,1.59
24.43,41.32,1.77
18.74,28.86,7.84
19.77,29.96,4.03
23.87,39,13.64
23.43,38.17,5.86
17.57,29.3,1.91
18.3,27.89,5.29
24.79,39.63,1.74
21.31,35.5,12.5
19.8,29.25,7.23
20.59,30.68,2.9
25.22,41.46,3.96
18.86,28.94,1.53
21.63,34.54,2.65
16.4,28.27,5.53
21.84,33.22,2.13
15.58,20.04,1.57
20.06,32.25,2.62
29.25,50.19,7.11
21.79,33.57,1.71
24.65,37.18,8.63
12.89,16.16,1.51
