price,duration,wait_time
18.8,24.63,2.37
21.28,36.03,3.21
16.15,20.84,12.31
17.18,25.3,2.93
27.25,45,6.19
22.63,38.26,2.28
19.81,30.78,5.76
23.3,34.81,3.04
15.27,22.56,3.42
22.08,36.39,7.79
18.36,26.76,2
22.44,38.44,8.81
18.95,28.19,5.27
24.41,38.12,4.36
21.95,34.96,6.29
14.04,17.38,1.87
21.69,37.25,3.97
24.99,44.83,2.98
18.42,26.42,4.67
22.41,38.43,1.95
22.84,32.74,6.79
11.64,11.42,8.28
20.37,32.8,1.62
21.62,34.6,3.63
16.23,20.77,8.06
16.87,24.65,13.22
14.79,21.02,5.77
15.5,22.9,2.12
25.29,45.13,10.15
25.15,40.48,4.52
22.37,36.31,6.01
19.69,34.83,3.75
20.48,32.33,4.44
17.14,25.32,1.63
24,39.06,11.74
13.56,17.28,3.48
22.3,35.89,3.11
15.21,19.83,3.16
16.51,23.55,7.62
24.68,44.28,6.64
18.99,28.19,3.82
21.2,29.49,1.65
23.64,36.89,5.51
23.8,39.61,10.21
17.85,25.33,3.46
19.8,32.85,2.01
12.49,14.02,1.66
26.72,48.53,1.68
16.25,22.58,7.8
16.21,23.47,3.58
21.17,35.28,3.08
11.74,12.9,2.82
8.18,4.84,5.31
20.06,35.08,9.87
17.06,25.36,2.07
18.62,28.24,2.07
16.52,24.51,2.06
17,25.7,3.21
22.85,37.93,4.47
14.87,19.43,1.72
11.9,14.06,2.28
22.46,36.74,2.33
23.29,39.85,2.69
16.45,26.33,4.52
23.1,41.76,3.4
18.47,28.91,3.56
20.08,32.6,2.86
9.58,8.64,4.34
16.22,22.3,4.62
12.44,11.84,2.18
27.22,44.29,1.62
18.89,28.8,2.01
27.5,50.38,1.53
13.24,18.05,2.16
15.22,19.1,8.75
21.18,33.36,14.78
18.81,29.41,3.09
21.17,35.99,6.69
24.11,38.81,3.81
20.2,31.29,14.17
10.58,12.03,5.1
11.44,14.46,3.19
24.46,43.12,2.56
26.91,46.08,2.45
16.07,21.38,7.67
21.2,32.25,2.18
13.94,16.04,3.1
22.67,39.22,2.6
16.2,20.51,5.63
16.28,23.54,6.37
10.79,11.59,9.68
19.3,31.65,6.96
21.16,34.54,3.64
24.38,41.5,3.82
18.79,31.67,2.4
20.16,31.38,2.65
18.31,28.19,10.35
16.97,24.33,3.15
19.64,29.23,1.73
16.2,22.22,2.05
