price,duration,wait_time
19.48,30.39,2.62
15.13,20.95,2.2
23.39,32.46,3.24
11.53,8.91,2.99
21.06,34.93,3.66
21.37,34.86,3.82
16.1,19.77,1.96
29.92,49.4,4.26
22.46,30.87,5.1
19.43,25.07,5.63
17.06,24.53,3.26
17.1,27.12,3.51
21.01,33.8,1.64
26.31,40.46,2.18
11.94,14.07,5.13
18.85,31.69,1.91
14.96,19.91,12.82
19.79,27.56,2.21
29.4,50.29,2.35
13.83,15.67,12.94
18.11,24.85,1.86
24.14,41.02,1.55
18.97,27.29,1.75
17.41,28.09,4.3
12.75,17.22,2.98
11.65,11.31,5.99
23.96,38.96,4.36
22.74,35.75,3.12
26.44,42.03,5.41
16.86,24.34,2.68
18.06,27.23,1.54
18.23,29.47,9.8
13.83,20.36,5.89
19.96,29.24,1.55
19.68,30.24,2.04
25.59,44.73,2.62
18,24.53,4.53
20.64,32,5
25.54,45.03,3.8
17.24,24.42,1.83
29.18,51.61,1.88
13.74,16.19,1.9
16.5,24.46,13.1
30.4,50.84,2.52
25.78,42.14,4.39
19.51,28.97,4.15
23.15,35.8,2.45
21.71,37.21,5.01
29.41,52.37,4.39
17.16,25.29,2.59
27.32,47.58,1.56
20.23,31.27,8.68
17.63,29.6,3.09
14.48,21.87,2.9
26.68,50.84,4.19
21.69,30.48,18.32
19.05,27.88,2.21
18.69,25.07,2.52
19.64,30.5,3.9
18.76,31.82,2.36
16.24,22.35,6.36
16.26,21.67,5.93
17.85,26.19,6.68
25.07,43.68,2.65
25.32,40.64,6.06
16.52,23.93,4.86
26.37,45.8,12.35
23.22,34.09,5.18
19.75,31.87,4.3
20.26,36.53,2.89
29.61,53.52,1.87
17.88,28.76,2.19
25.58,40.27,2.41
21.99,32.56,2.88
14.22,19.24,3.84
19.06,32.81,2.82
16.28,21.56,2.66
21.16,30.78,5.52
24.5,40.37,2.08
22.59,36.35,5.4
17.54,23.38,1.58
16.52,22.91,2.06
31.67,56.63,15.03
25.5,40.54,2.39
16.99,23.83,3.79
24.77,42.67,3.71
26.18,46.81,4.36
23.68,41.74,13.78
10.63,8.54,2.7
29.39,51.06,2.63
20.25,32.95,1.8
19.85,31.71,1.87
15.42,21.4,3.79
17.1,23.54,1.73
18.19,25.34,1.79
31.38,52.45,3.85
21.19,32.69,2.4
25.7,43.13,3.15
19.57,33.22,3.61
13.81,18.02,2.8
