price,duration,wait_time
22.14,36.58,2.42
11.95,14.3,5.99
16.32,26.92,12.87
34.51,60.75,1.69
11.87,12.62,10.58
13.4,15.87,4.52
15.95,21.39,2.82
17.43,24.99,3.54
21.53,34.16,2.24
20.58,29.02,4.61
17.89,26.9,3.69
18.75,33.36,5.96
18.09,29.97,3.21
20.39,32.45,5.4
15.97,22.9,5.29
16.49,22.12,3.08
17.76,29.34,3.53
17.41,23.78,4.26
18.35,29.06,1.66
15.59,19.88,3.02
15.89,20.94,2.41
20.47,30.48,9.51
14.3,19.6,4.32
23.94,37.5,1.95
18.88,28.63,4.73
15.88,22.88,13.85
20.66,31.97,3.65
24.09,37.73,2.05
25.57,42.95,3.19
24.41,43.34,1.65
18.61,29.67,4.38
17,24.06,1.59
17.89,29.08,4.67
17.04,23.66,1.84
17.14,28.01,4.4
16.02,25.42,2.15
19.68,29.56,3.19
12.86,13.7,1.71
18.19,29.26,5.17
21.36,32.73,2.65
25.31,41.75,1.77
21.69,31.67,1.5
23.59,41.06,3.71
12.05,12.35,4.8
16.33,23.97,11.65
24.59,37.22,5.48
16.27,27.5,1.69
19.98,34.69,6.09
12.02,12.24,1.54
22.64,34.32,14.95
22.93,36.36,7.27
31.45,56.94,2.74
24.76,43.74,5.11
18.53,30.45,6.62
19.19,31.86,5.58
22.94,34.46,2.23
11.1,9.6,2.5
18.66,25.96,2.13
24.29,42.03,4.09
22.05,35.12,4.21
18.74,27.94,2.36
22.41,37.5,2.73
17.14,25.45,2.52
10.47,9.57,2.46
20.81,35.25,7.92
17.77,25.78,4.61
8.61,8.66,5.3
27.19,43.98,3.95
17.52,26.89,3.02
24.5,41.22,4.84
24.1,39.54,1.85
15.07,18.83,6.04
19.53,29.82,2.39
15.86,22.93,10.05
18.45,27.72,9.54
19.08,28.01,3.17
21.27,33.41,16.37
17.73,28.05,3.92
21.32,32.21,3.25
15.52,23.84,1.86
11.31,10.74,2.25
17.98,29.04,1.72
21.68,36.41,2
20.71,30.79,9.21
12.19,13.69,3.07
20.51,33.73,4.22
30.85,55.01,11.96
6.81,4.35,3.7
20.78,32.99,11.09
24.95,41.47,1.95
11.02,15.67,1.62
17.04,25.02,1.65
22.95,38.61,3.14
18,25.92,6.65
19.54,26.14,2.73
16.16,26.6,4.82
20.45,30.37,1.65
21.02,31.58,1.54
12.91,15.17,2.49
24.1,41.48,6.57
