price,duration,wait_time
17.28,20.29,13.25
20.53,35.51,5.28
26.33,48.98,3.07
22.36,39.44,5.92
16.2,20.73,1.81
10.37,5.15,4.61
19.27,30.71,5
17.63,25.12,2.02
15.07,18.8,3.13
14.9,21.63,2.99
15.3,24.61,2.37
19.74,37.5,5.05
17.63,29.54,2.34
16.1,24,4.67
23.42,36.41,6.27
14.59,26.01,2.43
17.99,26,2.27
17.31,24.56,1.61
13.17,19.99,2.44
15.1,20.92,12.91
18.76,28.96,7.49
9.87,12.02,8.03
17.22,24.25,15.7
17.91,30.53,6.46
17.28,23.75,2.74
23.53,41.76,4.12
15.77,24.56,2.25
28.44,47.04,11.47
20.68,32.51,12.66
12.07,13.25,3.1
17.74,22.04,3.51
19.78,30.35,5.9
27.41,47.15,2.15
19.42,29.42,8.32
14.46,19.87,10.89
20.41,31.22,4.68
23.3,36.27,2.89
28.46,49.41,3.57
12.1,10.31,3.4
13.92,17.14,1.58
17.06,22.19,3.69
15.05,21.68,6.83
13.37,19.46,1.71
14.97,22.25,1.7
15.26,22.27,3.99
21.16,33.1,2.76
22.97,33.76,5.79
17.75,27.48,3.47
18.38,26.27,4.55
23.21,35.67,3.88
19.37,32.28,2.32
20.04,27.76,3.4
23.78,38.12,3.52
25.47,39.47,1.55
24.24,39.42,3.54
13.23,18.68,2.9
22.6,35.91,10.37
18.78,27.1,6.68
18.73,26.46,2.42
19.49,26.52,2.37
19.76,29.45,4.49
23.6,39.88,2.67
10.98,12.91,5.35
16.63,25.25,2.13
18.06,28.37,2.82
20.3,28.43,7.74
18.4,26.19,3.7
22.15,35.46,2.4
20.37,29.1,7.34
11.48,16.25,3.14
20.88,32.91,2.19
20.72,33.52,1.86
14.39,22.16,9.05
28.19,49.95,5.3
13.36,15.82,17.97
29.52,53.85,1.53
17.53,27.19,5.78
18.84,30.95,18.96
16.23,22.06,3.88
16.72,25.04,4.15
21.38,33.84,3.03
21.72,32.49,2.59
26.01,41.72,25.88
27.38,45.77,5.1
25.44,43.92,6.95
20.11,29.94,3.97
23.11,36.39,1.63
25.9,42.21,1.79
22.5,33.06,5.83
21.85,32.43,3.6
22.57,34.47,2.62
25.17,39.35,16.18
31.21,54.29,20.26
21.97,33.25,4.43
15.75,22.76,1.51
22.18,35.21,6.01
14.39,17.48,2.21
18.22,25.05,1.7
15.72,24.3,6.24
36.74,67.29,10.03
