price,duration,wait_time
23.26,35.21,2.96
13.12,18.88,3.84
15.76,19.82,1.77
14.79,24.24,3.48
29.35,50.53,1.9
15.61,26.41,7.77
22.26,33.9,1.78
17.68,24.8,3.72
19.87,30.83,1.6
21.93,35.88,2.83
16.68,22.52,2.84
16.93,24.79,1.66
14.55,18.88,3.52
23.65,35.72,3.73
23.74,40.24,12.7
18.73,26.98,1.77
27.41,41.53,3.7
17.46,24.28,5.08
20.29,33.77,2.17
16.41,21.43,12.57
15.85,23.21,3.87
14.7,20.37,10.7
18.7,28.08,3.3
16.56,25.44,4.71
10.05,9.58,1.78
23.46,39.65,4.34
19.28,28.63,1.51
19.55,31.18,1.86
18.78,30.3,13.27
20.05,29.86,6.53
21.81,32.15,4.47
21.44,31.73,2.44
13.41,20.6,3.49
23.27,39.38,4.55
18.66,28.33,1.77
23.33,42.93,2.53
16.21,25,3.07
23.96,41.65,3.67
19.55,31.97,1.98
21.68,37.83,5.51
22.71,39.39,4.26
17.33,23.11,10.63
16.62,23.24,5.22
16.5,23.15,4.79
28.01,48.84,3.14
18.21,25.83,7.2
22.61,39.27,1.5
16.41,25.53,2.03
20.34,27.93,2.71
29.69,53.71,8.51
15.9,23.15,6.8
17.15,26.21,1.68
18.02,26.21,3.11
13.76,16.11,1.98
20.43,33.83,5.26
21.45,34.28,5.61
17.92,25.58,3.77
27.76,48.63,3.47
20.75,36.12,3.4
16.94,24.45,13.52
19.98,32.4,5.41
19.61,29.14,3.84
14.51,20.31,2.86
20.58,33.59,5.53
17.31,24.78,2.03
20.17,34.3,2.41
16.45,20.62,2.7
14.93,20.17,2.94
23.69,35.49,4.11
12.78,16.41,6.58
25.11,43.55,4.2
20.59,33.65,3.09
12.96,16.27,4.58
28.67,47.33,3.27
13.68,16.3,2.41
27.08,46.77,3.74
19.72,29.2,3.49
20.55,32.89,4.73
22.1,35.21,1.84
9.42,9.21,2.6
26.63,44.98,2.27
21.41,35.58,1.9
18.38,26.78,1.81
21.62,34.36,1.78
9.33,9.57,2.45
27.53,44.38,3.82
20.57,32.98,4.33
11.33,13.02,3.71
22.99,35.91,7.74
20.39,31.66,3.99
13.56,19.28,4.97
23.3,37.39,1.78
16.13,26.67,5.57
27.69,53.07,1.65
21.68,36.41,2.46
22.04,36.19,1.64
21.67,35.81,4.79
28.47,50.26,7.59
27.07,48.76,2.99
14.71,17.85,3.49
