price,duration,wait_time
16.34,20.66,1.79
16.43,23.93,2.75
23.83,40.34,13.39
24.35,41.47,2.54
25.05,44.39,1.93
22.22,33.29,2.67
20.54,33.67,2.26
21.03,30.91,5.7
21.48,35.31,4.21
15.56,18.95,1.82
18.06,26.06,2.07
23.88,38.67,2.65
14.82,19.99,1.85
10.83,9.94,1.71
17.23,25.16,3.31
22.56,34.32,7.46
19.4,29.56,3.91
21.38,35.07,5.64
16.58,22.07,2.92
19.59,27.61,3.63
14.44,18.16,1.93
19.6,26.44,2.72
19.65,33.08,4.04
17.85,24.21,3.45
25.08,40.94,3.68
14.29,19.88,1.77
20.87,28.71,1.79
28.61,52.11,11.11
25.83,44.39,10.38
17.39,25.97,2.33
17.21,25.4,3.06
18.33,27.61,2.96
25.95,46.83,5.83
15.61,22.44,7.69
10.12,10.42,3.03
23.16,37.54,2.65
21.28,34.9,6.85
22.88,34.6,1.62
20.24,31.77,1.98
24.25,40.96,1.71
20.98,36.7,3.25
19.24,28.05,1.87
24.44,39.93,9.36
14.8,19.17,4.54
17.24,25.7,1.96
10.35,12.95,1.6
25.92,46.54,1.71
15.27,22.1,3.44
12.13,11.26,5.75
15.82,23.76,7.32
23.38,35.98,12.17
16.59,21.68,4.35
13.3,15.67,3.47
17.34,23.97,2.76
20.05,30.58,8.94
25.95,44.2,2.33
19.89,30.18,3.39
24.46,39.69,4.18
14.21,17.78,1.89
22.38,37.01,2.69
29.19,50.67,1.93
22.4,37.45,8.7
27.53,48.76,16.61
15.02,19.54,10.08
22.69,37.43,5.94
16.58,21.49,1.7
21.58,37.4,3.59
14.6,24.83,4.14
26.22,42.83,3.42
9.64,15.1,3.48
17.81,28.96,6.53
21.43,31.45,6.34
30.39,54.3,5.06
26.89,42.68,4.73
17.72,27.13,1.63
23.61,39.77,3.82
24.13,39,2.07
18.56,30.25,7.97
24.44,43.5,2.46
21.71,37.04,7.03
20.9,31.33,1.69
19.18,30.53,5.06
20.52,32.65,5.72
13.68,17.63,1.63
16.26,23.71,1.78
15.15,22.4,7.75
18.55,28.89,5.42
15.37,18.38,2.29
29.66,51.12,6.46
24.37,38.67,1.55
25.96,44.18,6.13
21.16,29.12,1.66
19.82,28.58,3.2
20.74,33.99,7.49
12.93,16.3,2.45
15.11,23.21,2.38
17.83,30.42,4.21
15.84,24.1,2.64
27.14,46.47,12.67
14.6,19.44,3.04
