price,duration,wait_time
23.62,38.61,5.52
21.43,35.52,3.65
19.2,29.4,4.09
16.28,25.07,4.89
24.78,39.08,10.06
21.2,31.1,2.36
15.03,22.37,4.47
19.58,28.99,2.96
23.29,36.62,3.16
21.25,29.33,3.82
22.07,36.88,4.82
20.55,33.66,6.92
23.55,36.26,10.02
15.79,20.92,11.8
17.22,22.13,1.93
11.11,10.67,1.58
17.48,26.24,8.2
22.71,37.47,12.87
12.4,16.55,2.26
18.9,30.22,18.12
19.61,30.65,2.77
14.63,20.47,5.64
18.18,30.57,3.43
22.43,33.05,1.88
26.52,47.67,1.87
20.42,27.8,5.31
20.13,30.87,4.07
21.54,37.2,1.95
17.41,22.29,8.25
18.83,33.59,10.15
14.46,21.89,3.77
24.56,40.05,2.55
23.77,36.63,1.54
23.68,39.98,2.16
14.44,19.09,4.38
18.75,29.76,2.51
14.9,21.62,7.49
27.06,47.76,2.91
16.56,23.41,5.02
22.26,36.57,4.74
14.53,16.15,1.95
15.85,18.53,2.79
28.52,47.49,3.36
27.28,44.49,1.53
22.35,36.76,5.8
15.27,20.94,1.51
21.83,34.74,9.26
10.99,10.98,2.57
16.57,25.45,1.68
6.68,5.18,2.93
15.23,23.77,1.81
20.3,31.07,5.03
16.38,27.34,2.71
22.67,34.21,2.22
17.82,29.43,6.18
10.37,10.85,5.92
14.13,19.48,3.69
23.11,33.28,1.92
16.66,25.04,2.66
17.61,26.98,2.9
16.47,22.79,1.84
9.74,8.19,2.01
25.27,40.35,4.05
18.3,24.48,8.85
19.8,27.52,4.59
19.27,32,4.05
18.27,25.75,7.32
13.61,16.49,4.25
21.11,35.74,9.47
14.32,17.83,3.17
16.98,25.31,2.19
20.81,29.6,5.89
17.07,27.2,2.33
25.22,43.12,1.91
14.76,21.03,3.65
24.67,40.89,6.37
17.2,25.6,5.44
14.33,17.78,2.77
10.23,10.89,7.65
24.53,36.04,2.79
15.49,22.05,2.15
21.84,33.54,3.95
18.51,26.54,3.17
23.86,41.79,1.98
19.04,26.3,4.07
16.03,27.54,3.18
16.82,23.01,11.48
14.91,20.37,2.97
31.05,51.93,3.1
30.3,54.3,2.42
25.08,47.2,4.75
22.13,34.2,3.48
19.83,31.58,2.68
19.44,31.29,3.93
31.43,52.52,5.38
16.56,26.78,5.15
22.41,39.15,1.8
26.95,45.31,2.7
21.73,33.97,5.92
15.81,24.14,2.36
