price,duration,wait_time
20.88,34,3.02
17.86,28.8,7.69
10.7,12.63,2.31
24.33,35.27,1.79
20.71,34.1,4.98
26.83,49.24,1.52
16.89,24.13,2.39
22.65,36.52,6.54
19.17,32.83,9.09
22.74,34.3,5.41
13.6,19.97,4.06
14.47,20.14,2.41
16.86,27.36,7.64
9.66,14.42,2.57
14.31,17.6,4.48
15.92,22.72,1.74
25.88,42.94,1.63
15.45,18.8,2.07
12.28,17.23,6.05
17.22,24.07,2.03
26.03,40.16,2.75
19.46,33.12,3.87
20.62,30.36,3.63
17.16,25.29,3.65
20.66,31.12,3.97
14.37,18.91,4.21
22.54,36.61,3.89
17.71,22.38,4.43
20.82,36.37,2.33
11.24,13.89,2.29
18.61,27.39,2.38
14.79,21.5,10.94
17.19,25.46,6.15
21.58,36.5,3.03
20.47,28.86,2.99
21.89,36.84,4.01
18.03,28.35,15.14
19.63,30.14,1.72
26.57,46.15,2.24
24.92,39,2.29
19.95,30.06,2.78
26.85,45.45,2.86
9.89,12.51,1.75
15.35,22.66,2.19
15.95,23.03,1.88
19.71,31.02,3.89
14.49,19.01,2.09
26.05,45.12,4.11
23.47,36.9,5.12
14.61,20.07,3.1
16.7,21.92,3.06
16.92,26.73,3.18
22.7,38.76,4.25
18.53,28.34,3.23
13.65,17.71,2
22.03,35.61,3.65
17.82,31.39,6.74
24.02,42.84,3.24
16.44,26.29,2.05
22.04,37.3,1.77
19.25,25.28,3.42
19.1,25.33,7.9
24.52,40.02,1.68
34.03,62.1,2.69
6.81,4.35,3.7
15.08,21.73,2.81
18.31,25.96,3.06
16.95,26.82,3.12
17.92,28.67,3.25
24.3,39.95,4.34
13.86,21.75,5.45
17.7,26.78,6.64
20.29,33.69,5.61
26.62,50.77,4.75
14.53,22.05,2.2
22.51,32.15,2.54
19.02,29.25,6.33
21.5,32.36,2.76
21.44,35.24,4.36
17.84,25.81,5.04
24.27,41.44,7.1
19.09,31.37,5.03
22.06,34.46,3.26
13.29,19.03,2.66
19.47,30.35,2.2
18.16,26.45,4.43
22.26,34.47,5.45
11.88,15.54,9.38
25.08,41.02,2.08
19.91,32.68,2.53
25.97,45.34,5.25
13.41,16.69,2.15
15.7,20.9,9.31
19.31,28.96,2.27
26.11,47.96,6.83
25.34,37.34,2.83
12.83,15.6,7.45
35.1,62.8,2.98
17.2,22.48,1.52
22.94,36.41,5.91
