price,duration,wait_time
17.15,25.58,3.09
18.74,30.62,3.85
25.18,43.72,1.95
15.85,23.66,5.55
14.75,15.86,1.7
10.87,10.91,1.94
15.5,21.71,19.68
19.51,31.56,5.19
22.6,38.07,6.59
20.19,31.66,9.04
24.58,41,14.08
20.79,34.21,1.78
13.44,16.35,5.41
9.87,9.81,7.28
16.77,22.63,2.26
15.04,20.89,15.36
21.01,32.02,2.16
25.5,38.83,3.61
20.17,29.58,7.94
25.86,41.8,5
17.68,27.16,2.04
20.03,33.48,4.32
24.04,37.42,1.57
16.51,24.39,6.36
22.62,32.79,6.13
8.81,8.85,1.73
20.93,29.96,5.57
19.6,28.95,5.29
12.43,15.27,3.64
18.06,23.83,4.05
20.61,34.78,7.33
17.22,25.72,18.24
24.44,42.51,2.7
13.92,22.14,13.43
19.83,29.62,5.76
13.51,14.59,5.44
17.44,25.58,2.05
31.68,51.89,8.1
24.59,43.3,1.54
15.83,24.1,3.72
15.94,22.99,2.22
28.4,45.64,4.65
21.67,35.19,2.9
24.82,39.38,3.82
18.03,27.56,2.8
15.69,23.97,2.01
17.47,27.28,4.51
23.71,39.63,4.39
17.16,21.91,9.8
24.86,35.39,2.93
19.8,30.02,3.22
16.73,25.12,2.39
11.41,15.74,4.93
12.39,13.83,3.53
17.83,26.17,2.26
22.73,37.58,6.27
21.02,32.26,12.17
10.07,9.85,7.31
17.32,24.66,2.54
25.52,45.95,2.52
19.11,29.46,6.54
17.29,25.19,1.83
18.15,25.01,2.73
29.34,50.62,2.6
17.95,29.57,3.98
17.74,25.68,4.71
22.03,35.94,1.78
23.88,36.94,7.68
24.48,40.55,2.75
19.33,33.04,4.3
23.81,38.77,2.09
14.93,23.14,1.88
22.07,33.99,3.44
18.09,28.95,4.7
12.45,14.64,1.51
13.52,17.7,3.34
20.01,31.08,11.2
13.23,18.45,1.56
18.62,30.23,2.83
18.47,27.59,3.35
10.05,9.2,5.59
19.01,30.08,3.2
18.53,24.21,4.81
19.13,30.13,2.97
13.21,20.9,4.02
16.46,21.54,2.68
18.05,29.95,6.05
9.15,8.03,1.52
11.63,13.96,2.67
27.1,49.56,1.86
20.84,33.07,2.07
18.45,25.84,3.98
23,37.69,1.89
25.48,43.67,1.54
18.14,25.97,9.58
29.5,50.08,1.56
23.17,36.76,4.06
16.99,25.55,6.29
12.19,14.89,3.37
23.24,39.68,5.33
