price,duration,wait_time
13.94,18.85,9.08
15.63,20,9.05
18,30.09,4.1
18.97,27.58,3.32
14.13,16.92,1.79
19.18,31.87,5.17
18.79,27.39,3.96
27.01,46.37,2.04
23.63,34.77,2.92
18.77,29.34,10.28
24.41,42.41,3.83
23.25,38.59,2.76
13,14.18,5.49
21.09,31.95,3.65
17.46,25.91,4.91
18.06,30.81,2.43
26.55,43.73,8.16
20.5,33.68,2.94
25.57,45.25,10.61
25.03,40.18,4.94
23.86,37.6,4.78
16.8,24.25,3.75
18.39,26.04,4.57
25.61,41.76,17.14
15.45,24.05,3.98
22.35,36.68,2.18
23.58,41.49,2.52
17.07,27.59,3.65
24.07,43.32,4.76
17.81,30.5,1.52
20.83,33.72,3.19
24.24,40.14,4.4
19.73,30.75,5.61
19.92,36.73,2.54
23.58,38.62,2.42
25.18,45.61,3.57
26.93,47.68,4.03
15.05,19.48,6.12
17.62,21.64,4.86
25.57,42.95,3.19
28.88,52.35,4.4
28.16,47.54,4.26
19.95,33.96,2.86
21.55,35.25,6.96
14.39,19.35,4.53
20.89,32.33,2.18
15.54,20.7,3.59
16.03,19.3,2.25
26.43,42.06,2.29
17.66,32.2,4.47
20.2,31.66,5.12
17.05,24.66,3.09
24.39,41.06,1.74
22.01,32.28,2.62
13.65,17.19,2.51
34.6,60.09,4.96
19.67,28.55,1.96
21.78,33.18,7.03
14.16,18.36,2.57
11.86,13.29,1.69
18.51,33.05,6.15
19.89,31.77,4.32
9.21,6.69,2.73
19.79,27.22,4.02
23.69,38.31,1.95
25.26,42.97,2.24
14.53,17.4,2.09
18.56,24.86,4.12
15.46,21,6.54
21.63,32.29,2.09
18.14,26.72,2.16
16.9,20.99,4.4
15.06,20.44,9.24
23.41,35.03,6.5
19.54,31.63,2.45
18.73,23.58,2.08
16.67,24.93,2.98
12.73,16.11,7.68
27.76,47.76,4.15
21.46,33.33,3.09
22.91,34.49,11.5
21.45,32.18,3.57
14.96,23.72,2.8
12.9,17.47,1.65
20.69,33.27,5.83
20.24,33.02,6.41
17.24,24.42,1.83
20.54,30.78,7.95
24.01,39.62,7.59
24.5,39.18,5.49
22.13,38.53,1.97
17.17,25.45,2.15
20.12,30.67,5.04
18.39,28.15,2.51
18.26,25.81,2.79
20.29,32.24,2.89
16.86,23.61,2.12
21.83,37.58,8.75
22.08,36.02,4.13
22.03,34.84,12.4
