price,duration,wait_time
23.28,40.76,2.16
12.91,15.53,6.27
16.37,22.19,3.37
28.32,47.68,1.64
21.98,35.37,1.81
19.25,28.49,4.61
21.03,30.91,5.7
15.15,23.38,1.95
15.98,19.74,6.67
22.95,37.74,1.62
22.41,35.15,11.98
22.19,30.56,1.66
15.67,23.21,2.7
26.71,45.74,1.62
16.23,23.42,6.11
18.5,31.05,13.06
16.97,24.62,1.6
16.43,26.49,5.93
23.75,40.27,2.52
22.5,34.44,2.71
16.64,26.53,8.27
19.84,31.63,4.74
26.97,47.77,4.27
24.02,38.35,5.08
22.69,36.5,8.24
25.76,45.47,2.19
17.91,29.67,10.72
20.88,33.05,2.1
26.69,43.12,4.41
23.02,34.93,2.55
18.79,30.22,2.03
20.48,30.54,2.19
30.93,53.62,4.43
27.85,49.32,4.9
21.76,33.24,4.18
14.97,21.77,2.57
18.13,28.14,4.1
24.73,42.41,2
15.24,21.19,3.7
15.9,21.07,3.1
17.15,25.62,3.2
22.89,39.75,3.07
16.46,24.03,2.18
23.7,39.9,3.17
19.59,27.52,3.66
23.48,40.48,11.26
14.87,22.84,16.16
24.55,44.12,1.71
21.23,33.04,2.05
17.55,26.83,6.56
13.01,15.64,3.67
12.04,11.67,7.13
14.13,19.61,8.61
28.58,48.43,1.96
22.91,37.07,5.41
13.23,15.69,4.46
17.39,23.11,1.5
17.34,19.71,13.31
16.17,18.82,3.27
18.56,29.62,2.63
15.86,25.75,3.35
22.29,40.7,1.83
7,6.78,2.13
18.91,25.52,2.87
20.67,31.62,1.87
19.53,31.69,7.64
22.04,35.69,6.38
22.17,36.24,1.61
17.37,25.11,2.4
23.58,38.21,3.99
21.62,34.6,3.63
9.08,9.31,2.06
13.12,18.59,6.61
18.78,26.96,4.62
19.42,32.23,9.95
23.96,40.71,2.4
15.15,19.53,8.86
16.77,24.07,12.56
7.74,4.84,6.22
23.2,38.25,4.33
15.28,22.11,7.35
28.79,46.1,2.68
14.84,18.74,13.33
13.45,19.8,1.89
27.63,45.17,3.19
20.26,28.63,9.75
14.53,20.55,7.11
15.22,19.54,8.06
18.26,24.26,2.96
18.41,25.07,4.15
21.77,34.23,1.53
23.69,40.02,1.65
26.23,41.04,3.32
18.19,26.21,2.75
21.72,33.52,5.93
24.07,39.8,2.54
23.77,39.55,3.34
18.95,30.24,6.68
23.25,35.52,5.27
16.27,22.26,8.66
