price,duration,wait_time
21.23,33.05,3.64
21.44,34.93,7.39
19.78,30.61,4.54
31.57,59.07,4.55
22.28,36.74,7.35
20.59,30.28,3.29
15.85,25.92,1.99
11.12,13,1.78
18.87,25.55,4.99
24.82,39.73,1.66
16.02,21.37,8.35
17.08,24.39,3.25
20.42,31.29,5.45
19.16,29.56,4.73
19.72,26.28,2.07
19.6,30.27,5.01
24.82,40.59,7.96
15.74,23.38,13.93
14.82,17.65,2.13
14.1,19.57,6.43
16.43,23.04,7.62
17.87,21.8,5.27
24.08,41.63,2.02
16.56,23.67,6.86
19.37,30.41,3.55
22.64,38.48,5.18
16.63,22.97,7.84
11.77,15.82,1.81
17.47,26.59,1.59
17.85,24.35,1.6
17.36,21.52,2.56
17.11,24.85,2.2
15.94,23.12,6.56
22.29,33.67,11.51
21.46,35.73,1.65
23.79,35.44,3.25
20.4,28.96,5.24
17.02,25.47,16.38
22.8,39.1,3.48
15.85,20,2.01
19.48,28.51,3.18
21.56,37.07,4.83
17.11,26.58,2.87
18.41,29.52,1.55
17.52,28.48,5.1
22.07,34.83,1.8
21.82,34.35,2.29
17.66,27.31,2.07
24.6,40.67,4.26
11.5,16.14,2.73
23.48,37.78,2.51
21.53,36.31,3.94
24.29,39.86,1.67
18.9,31.53,5.49
20.34,30.67,2.08
15.75,21.59,4.93
18.13,32.33,3.58
20.43,27.77,5.08
28.95,47.59,3.78
16.16,19.05,4.04
15,19.46,9.91
20.25,32.23,6.42
12.01,13.55,4.06
17.64,25.23,4.03
25.09,40.83,2.97
24.77,43.11,1.99
14.77,17.48,4.63
21.15,36.27,9.24
17.22,27.63,2.74
18.22,27.19,4.33
23.22,43.1,2.63
24.82,43.88,5.42
21.68,39.77,4.32
22.47,35.6,2.78
20.66,33.95,3.31
20.17,30.71,3.36
18,27.68,1.57
19.8,32.27,1.83
18.04,27.07,5.18
17.23,27.35,3.7
23.1,41.88,4.66
26.61,43.62,5.21
17.63,25.74,4.51
21.87,39.4,2.22
20.36,29.16,3.49
14.25,17.58,5.17
26.03,42.86,4.29
14.42,19.79,6.53
28.74,46.97,5.15
25.04,42.17,3.39
22.9,37.9,3.48
21.54,33.84,5.64
26.54,44.73,4.09
22.21,34.21,3.36
19.33,28.83,14.27
23.91,41.33,2.53
18.69,27.95,1.99
15.94,25.32,12.11
23.56,37.47,2.86
12.61,15.12,8.15
