price,duration,wait_time
23.01,42.1,1.53
14.53,20.06,7.51
23.52,36.8,2.19
23.24,34.68,1.78
17.12,23.37,3.28
17.82,29.44,2.12
26.01,43.71,4.51
17.68,28.82,6.72
23.05,37.05,5.08
28.37,50.68,1.51
20.29,31.05,1.57
26.84,46.21,18.13
21.07,32,3.7
11.5,12.01,1.79
8.41,4.12,4.2
11.83,14.71,2.37
11.91,10.56,5.63
27.56,46.75,4.67
23.35,38.55,4.32
15.23,22.06,6.78
22.52,36.45,1.71
22.04,34.24,3.89
21.61,34.34,2.95
24.2,39.53,2.15
8.52,4.33,3.04
12.87,15.89,1.87
19.63,30.05,1.85
26.32,43.49,8.69
24.68,35.49,9.47
23.22,41.71,12.96
26.37,42.87,3.51
24.31,39.17,3.4
13.9,18.07,2.48
20.48,36.35,4.42
14.76,19.95,5.26
22.44,36,4.26
23.42,36.07,6.13
21.93,32.91,4.44
21.33,36.24,2.92
14.73,16.65,2.87
13.92,19.11,3.52
26,43.99,4.46
19.26,29.93,6.03
22.3,36.23,3.84
22.42,39.73,3.71
22.47,34.83,5.66
24.87,42.58,4.26
13.09,16.03,1.81
8.71,8.96,2.5
17.8,26.07,1.7
22.41,33.66,5.47
19.86,29.73,3.45
25.82,43.92,1.79
27.43,48.97,2.51
15.59,21.94,1.94
15.82,24.94,5.66
9.74,10.74,1.83
19.98,31.44,3.04
25.81,44.45,4.43
11.17,12.69,8.55
19.84,29.17,3.08
31.69,54.06,2.67
21.62,35.42,2.05
21.48,36.12,10.09
16.94,24.56,2.07
13.66,18.83,3.52
21.24,34.9,2.79
25.23,40.1,9.34
14.65,18.42,2.51
12.7,22.45,1.97
19.78,27.93,3.51
17.84,24.87,1.8
19.48,31.88,3.98
19.09,27.95,2.75
19.75,29.68,3.59
14.43,15.32,4.87
15.59,23.28,2.82
22.08,34.9,9.7
22.34,36.55,10.37
30.7,55.23,2.93
23.92,39.43,1.7
13.98,19.19,2.29
22.76,31.85,4.69
24.17,40.78,5.09
15.94,29.34,4.19
20.92,31.07,4.72
16.24,27.07,3.41
17.09,25.9,1.92
23.63,38.15,16.01
13.54,15.73,10.78
17.08,28.17,1.69
16.85,28.34,6.74
17.7,24.34,6.19
15.43,20.7,11.18
23.46,37.27,2.23
17.26,21.91,8.38
23.95,37.8,2.49
24.42,37.63,1.6
28.71,52.59,3.92
24.91,42.6,3.86
