price,duration,wait_time
16.51,24.31,3.36
21.84,35.5,2.59
16.73,20.38,1.58
16.3,25.15,2.96
28.88,52.53,6.91
22.13,33.01,1.74
19.79,33.47,1.54
26.92,47.92,2.62
25.47,44.49,2.22
21.63,34.76,4.01
19.14,29.44,1.94
28.85,45.6,1.54
22.63,35.1,6.61
17.79,25.65,2.05
19.5,31.11,5.65
22.09,35.49,10.98
16.08,22.88,2.12
12.63,15.38,1.63
9.41,7.72,8.06
29.34,52.45,6.15
18.58,28.03,3.31
19.6,30.89,1.57
23.84,36.95,9.46
26.91,42.49,4.21
11.42,13.44,4.23
19.65,28.55,3.36
10.13,9.4,1.54
17.14,20.82,8.6
24.72,43,5.84
19.87,32.61,6.28
18.64,29.24,2.7
24.85,38.94,2.73
19.55,29.87,6.19
20.19,32.83,2.83
11.16,11.04,3.74
15.67,25.01,6.54
13.19,13.12,4
30.79,49.8,2.02
19.99,31.64,1.55
22.93,36.55,4.22
16.26,18.78,1.99
13.35,13.04,2.68
25.85,43.75,6.34
9.16,9.52,7.52
15.56,20.81,4.44
24.55,39.17,5.92
14.18,20.96,4.81
22,34.76,2.79
16.7,27.13,2.72
20.55,33.65,2.48
22.41,36.71,3.22
28,48.94,4.1
18.55,29.29,1.76
23.52,43.39,9.53
17.64,24.09,4.23
28.16,48.14,4.43
14.99,18.56,5.13
17.92,33.07,1.51
16.79,26.95,5.7
20.62,32.31,12.2
28.4,51.34,3.61
16.74,20.75,3.21
16.37,23.26,3.6
19.81,29.03,4.17
23.67,39.86,4.17
20.26,30.69,3.88
20.03,28.95,6.17
25.7,45.88,2.42
23.83,37.29,1.64
12.07,16.39,5.11
17.96,25.14,5.01
15.45,24.21,4.09
14.71,18.51,8.16
19.79,30.57,1.51
18.58,25.95,5.39
21.34,33.09,2.45
21.73,31.76,7.24
15.22,22.19,4.5
17.42,25.25,4.55
25.59,44.27,8.72
23.44,42.63,1.55
15.84,20.96,7.51
18.91,33.63,5.21
14.25,16.44,1.9
18.47,28.26,13.04
18.34,26.32,3.5
21.64,38.84,2.63
26.87,46.07,4.09
23.47,39.33,4.48
29.9,54.2,10.42
18.8,27.58,2.94
19.95,34.08,5.1
16.59,27.12,2.66
21.52,37.07,3.81
21,35.41,7.33
23.03,37.13,3.66
21.86,38.78,6.13
10.94,11.83,7.75
18.94,27.3,4.3
14.6,19.83,1.65
