price,duration,wait_time
28.02,48.98,2.39
24.41,43.72,2.62
17.92,23.98,4.73
19.92,27.12,4.1
28.38,48.05,6.3
17.22,25.98,2.3
20.36,33.28,1.91
14.65,20.39,2.82
12.37,16.2,2.01
28.13,48.73,6.9
13.31,14.09,1.81
23,40.3,1.64
19.22,35.53,2.28
22.13,36.7,2.24
11.81,11.27,5.86
19.11,28.22,3.91
22.52,37.72,3.11
13.41,15.6,3.39
22.69,37.98,2.1
11.63,12.93,1.71
25.73,43.35,6.63
18.17,26.64,2.7
16.39,23.4,1.9
17.32,21.98,2.81
20.69,31.6,2.56
25.27,43.4,2.41
19.98,31.2,2.86
23.14,41.05,1.52
15.95,24.2,2.26
19.69,34.25,10.83
18.6,26.22,2.97
23.98,43.67,10.9
12.7,16.24,1.89
19.25,28.86,10.18
23.36,35.39,2.55
19.34,23.19,3.07
23.41,38.97,8.89
15.88,21.99,6.85
9.41,7.72,8.06
20.47,34.37,6.41
24.87,40.47,4.54
14.91,24.15,2.21
15.02,19.86,2.84
28.05,52.22,2.03
19.76,28.83,1.5
21.25,38.21,3.44
17.13,23.07,4.22
20.79,34.22,2.58
26.16,50.57,2.82
14.81,19.22,5.15
22.27,36.53,5.34
19.42,30.91,2.51
26.01,45.81,1.71
16.17,24.42,4.1
11.57,12.67,9.02
28.88,49.82,4.26
26.26,45.62,2.67
22.12,33.95,2.68
19.52,28.39,5.14
22.84,38.94,4.48
21.96,35.92,6.7
18.52,28.79,10
14.12,20.84,4.55
20.79,31.32,3.53
20.79,32.57,4.72
22.68,36.65,2.82
20.86,29.83,1.5
15.74,21.53,8.71
24.45,39.8,2.05
19.63,32.27,1.64
24.33,34.7,3.53
12.66,17.47,1.55
20.74,31.34,2.96
12.91,13.99,3.97
19.88,28.84,12.72
12.19,16.41,1.83
23.33,40.18,4.72
16.19,25.41,5.19
21.01,31.08,4.38
16.26,18.18,2.4
16.1,20.83,2.36
34.58,62.03,8.81
19.91,30.4,3.26
15.93,20.93,7.29
21.94,39.38,1.75
13.48,18.59,3.4
18.46,31.96,9.26
19.3,30.19,3.98
19.4,29.96,4.19
24.15,40.03,6.93
17.05,24.98,2.55
21.02,32.38,4.06
21.33,35.92,4.38
10.73,6.4,4.29
24.14,39.56,3.29
18.39,27.75,1.57
23.05,39.38,2.28
20.22,32.97,6.4
13.75,19.74,1.88
15.23,21.23,7.43
