price,duration,wait_time
19.88,29.09,8.82
12.13,10.64,1.62
22.16,38.97,14.57
15.09,22.71,6.66
14.61,20.53,2.44
17.48,25.55,1.84
20.56,33.83,3.27
17.09,22.58,2.45
14.61,15.25,3.38
12.62,13.86,2.08
20.43,32.36,11.36
13.69,17.2,3.31
17.78,27.32,2.04
20.9,29.02,1.91
12.8,13.06,2.04
22.15,36.67,3.52
20.98,35.26,3.58
21.98,38.23,6.7
20.61,32.2,7.34
21.59,35.15,2.32
22.5,39.03,4.16
18.02,28.4,4.66
17.68,26.22,3.33
23.73,38.8,1.65
22.06,36.16,5.21
22.3,37.46,7.73
24.3,40.05,2.54
26.13,49.05,3.95
17.61,26.86,1.67
20.13,30.73,5.59
21.41,30.81,4.11
14.55,17.36,3.88
13.27,19.28,5.56
18.91,28.06,1.63
15.2,24.01,8.59
25.78,43.83,4.43
21.7,36.69,3.62
25.33,44.32,2.9
13.51,18.91,7.97
11.64,8.64,3.71
13.81,19.66,2.68
17.31,26.65,10.45
24.19,39.06,3.34
19.18,30.27,4.96
11.44,13.31,1.83
22.17,31.64,3.15
14.93,21.44,5.11
15.44,19.32,5.08
13.81,19.12,9.55
17.7,27.26,3.38
13.5,13.8,1.75
23.97,37.84,1.52
18.44,30.1,8.41
15.75,21.59,4.93
27.65,43.24,2.11
17.66,27.02,7.27
23.24,40.52,1.85
15.44,21.11,10.92
23.82,40.45,11.68
17.87,28.54,4.12
19.22,31.12,2.4
25.86,43.27,2.08
21.86,33.82,2.1
23.54,39.6,7.48
13.66,16.39,3.92
20.78,37.41,21.92
13.59,14.38,5.02
27.27,45.08,3.37
16.03,22.93,2.14
17.45,29.85,2
13.7,18.15,5.48
11.23,14.96,2.7
21.62,34.27,1.94
23.14,36.84,2.19
15.8,26.98,3.21
23.35,37.62,5.73
21.86,35.15,12.5
21.52,34.6,3.48
22.24,35.81,6.2
21.92,33.76,1.51
18.46,27.76,4.25
22.68,36.65,2.82
24.88,43.08,1.62
13.86,17.62,10.29
17.96,25.02,1.9
18.33,27.3,1.9
20.61,28.94,3.74
14.57,21.77,5.32
17.95,25.57,8.11
22.04,37.52,2.42
18.19,24.05,15.24
17.93,28.38,5.01
21.7,35.51,5.98
15.65,24.17,2.62
17.76,25.52,7.81
17.74,25.38,2.92
19.38,29.96,5.32
19.58,27.47,1.74
15.53,25.73,11.32
21.77,38.7,4.16
