price,duration,wait_time
15.11,25.52,5.26
27.97,49.09,4.22
20.88,34.01,3.62
17.7,27.67,3.36
16.69,27.15,2.09
21.91,38.13,4.06
21.53,33.03,4.06
20.6,31.44,4.61
24.72,38.26,3.33
22.07,36.73,1.61
22.54,38.87,2.15
18.95,35.98,4.02
18.41,27.45,7.09
22.6,42.06,8.45
21.63,35.95,1.98
19.16,34.03,1.66
12.64,14.05,7.95
17.15,24.96,9.66
28.27,50.64,4.26
17.77,27.5,3.27
13.94,22.03,5.26
19.4,28.26,7.42
20.93,32.93,4.45
18.49,28.78,2.3
23.21,35.06,4.22
13.04,19.29,2.04
20.39,30.13,2.05
23.31,40.8,6.15
17.73,25.35,2.95
17.14,25.45,2.52
12.08,16.84,1.76
26.73,43.94,2.18
25.82,44.54,2.39
22.89,41.19,1.83
23.6,41.29,2.39
14.13,19.66,5.51
14.73,20.31,1.55
18.33,25.14,3.51
20.81,34.13,21.9
19.44,29.01,2.51
17.88,26.14,6.89
21.55,36.68,4.4
13.51,16.51,6.11
21.47,34.03,6.5
17.26,24.11,6.92
24.74,39.15,3.56
24.95,40.25,10.21
24.44,43.17,5.71
20.33,30.79,3.24
20.12,32.24,2.23
21.46,30.99,3.07
11.92,11.06,5.03
22.55,41.15,3.02
17.94,27.09,3.28
20.29,29.31,3.29
25.16,43.41,1.76
33.32,60.06,6.64
17.04,25.84,4.22
21.78,36.38,4.94
17.79,23.93,3.39
10.9,13.93,7.79
19.63,32.38,14.25
19.74,33.52,5.43
28.11,49.03,6.48
15.51,21.78,6.39
17.85,26.22,3.46
21.87,35.15,11.17
20.33,30.37,2.41
14.59,17.76,3.68
22.33,35.98,4.84
18.51,25.97,3.08
20.85,32.11,2.01
16.2,25.54,2.41
26.69,46.92,3.69
15.35,22.67,1.86
25.87,43.46,1.51
20.9,33.32,3.87
21.83,35.77,1.57
16.89,21.64,3.36
19.19,29.66,5.48
15.09,18.87,7.35
23.87,41.2,9.38
20.76,31.69,2.53
21.63,34.1,2.36
22.93,37.74,1.86
18.07,27.3,8.49
21.96,38.72,1.86
23.43,40.45,3.06
27.83,46.89,4.08
17.73,23.02,4.9
20.39,32.89,7.38
11.88,12.93,7.87
22.61,36.62,7.47
28.86,52.77,6.29
20.51,30.5,1.6
22.4,36.58,2.8
15.5,23.14,5.98
20.99,34.24,6.79
17.27,21.89,5.57
19.53,27.62,7.4
