price,duration,wait_time
19.19,31.05,2.86
14.98,22.09,5.77
17.49,25.99,3.84
17.12,25.33,4.25
20.19,32.59,3.89
26.74,50.93,3.35
22.67,33.31,5.86
19.73,31.72,3.7
15.62,19.14,1.58
13.74,18.67,3.4
18.16,24.39,6.84
13.64,21.43,4.05
10.83,12.34,2.47
20.36,33.8,3.18
20.98,35.08,2.45
22.48,39.3,2.26
14.18,18.22,4.93
18.93,29.9,1.65
22.17,31,3.92
26.88,42.71,3.59
21.92,34.51,2.92
17.31,26.65,10.45
21.56,32.79,3.69
22.96,38.88,5.53
22.33,38.17,6.97
22.34,35.27,7.63
17.47,23.6,2.63
23.64,40.35,1.61
23.48,38.75,1.99
20.38,32.03,1.53
16.29,26.22,2.2
13.93,21.18,8.53
20.93,29.78,3.83
23.07,33.98,5.09
13.73,19.74,3.29
21.21,33.24,2.04
25.09,39.81,7.15
19.93,31.34,2.02
23.14,36.72,4.18
23.22,39.43,4.65
15.09,15.1,2.48
13.33,17.56,3.44
10.79,14.15,2.22
24,39.47,6.96
18.64,26.17,3.07
20.03,30.16,12.14
21.01,31.27,1.53
21.65,33.8,9.47
18.39,25.08,12.59
24.19,41.6,1.99
15.3,21.19,1.55
24.1,40.83,8.05
18.22,25.09,1.93
18.72,29.36,2.13
26.86,44.76,5.13
15.3,19.63,1.69
22.75,37.49,3.4
17.01,24.3,2.08
25.11,41.64,13.15
23.49,37.03,3.39
19.81,30.32,4.93
14.39,21.19,4.25
9.5,7.97,5.25
20.67,36.16,9.74
10.26,13.79,10.26
17.49,25.17,2.05
26.08,45.55,4.67
22.54,39.15,2.46
18.34,26.32,3.5
15.39,21.82,4.57
16.79,28.1,4.11
17.87,28.64,1.92
14.89,21,11.5
14.79,19.1,4.58
19.31,29.02,9.45
11.47,12.17,2.27
24.38,42.64,8.87
27.8,46.43,5.5
16.47,21.31,5.04
23.83,36.95,6.93
16.76,32.15,1.97
17.93,30.29,3.9
21.99,36.07,7.94
20,30.95,3.03
22.62,41.56,4.89
19.65,27.78,1.59
17.51,26.71,2.15
23.6,39.97,2.33
22.51,31.08,6.15
19.44,30.38,2.82
16.64,23.06,4.74
18.17,24.51,3.67
14.26,22,3.67
17.78,23.57,9.14
17.53,25.92,7.54
21.62,32.99,6.51
23.53,35.79,5
19.43,30.01,9.36
16.86,26.7,3.49
19.36,24.34,9.99
