price,duration,wait_time
17.04,25.02,1.65
23.06,42.31,4.26
20.2,28.94,4.63
24.48,42.95,2.87
15.75,21.26,4.65
22.51,32.15,2.54
21.1,33.54,3.87
17.3,25.62,6.84
11.98,13.94,1.53
21.92,32.99,3.01
16.08,17.67,9.62
19.52,30.55,6.29
14.47,19.27,2.96
21.54,33.52,7.09
27.21,44.57,5
19.39,31.07,3.17
18.94,29.57,4.04
13.02,15.05,10.57
26.96,47.88,1.94
13.49,19.62,3.45
18.99,28.58,7.05
26.46,44.7,4.28
26.53,45.02,2.26
13.86,19.17,2.59
22.19,37.44,2.37
17.2,21.64,2.12
22.38,36.23,2.35
14.21,19.9,7.87
20.95,33.84,3.91
15.26,22.26,2.19
18.87,27.98,4.12
21.35,32.47,3.87
21.31,33.95,7.66
16.14,23.54,2.61
22.13,38.95,7.21
18.74,31,8.52
13.28,15.24,6.99
25.95,43.65,5.25
17.07,20.72,2.68
11.59,16.1,1.69
27.23,46.54,1.67
14.67,23.59,1.76
19.3,30.2,3.14
13.06,14.53,2.27
28.87,44.35,10.31
15.55,25.39,1.63
29.72,50.44,7.59
17.09,26.28,3.78
23.85,41.36,4.61
18.66,28.38,8.8
24.14,39.99,3.27
26.16,40.74,5.28
17.7,27.57,1.54
28.04,47.39,6.1
23.51,41.4,9.94
17.08,27.41,2.09
21.86,36.16,6.64
16.98,25.29,6.66
21.24,34.66,2.45
22.02,44.96,2.68
21.18,35.47,2.4
20.81,34.74,3.78
24.95,42.71,3.86
25.48,43.2,5.63
24.71,41.82,4.17
22.69,38.3,2.72
23.6,37.05,6.01
22.62,37.84,7
23.24,37.34,6.04
16.92,26.76,5.03
15.25,16.71,12.76
15.26,24.44,1.5
9.35,8.68,9.21
20.18,34.21,2.07
21.73,35.74,5.11
14.45,20.56,1.72
19.33,31.11,7.78
15.88,21.39,5.23
10.53,7.1,2.96
21.72,38.07,2.26
18.1,26.76,1.72
19.26,31.1,3.24
26.35,44.59,6.3
27.81,48.26,8.05
14.33,15.16,8.42
26.85,49.11,3.42
19.33,30.43,3.73
24.46,42.53,2.62
26.14,48.37,4.65
14.87,16.98,4.58
17.58,23.76,2.98
11.77,13.1,8.89
19.81,31.54,1.87
19.46,23.97,4.47
19.07,28.05,1.94
17.29,24.33,5.25
19.75,34.37,5.73
20.99,30.21,2.72
23.39,34.24,5.78
22.45,34.04,3.07
