price,duration,wait_time
23.54,38.84,2.14
20.8,32.44,4.49
28.45,53.48,1.88
26.31,45.38,10.42
28.23,48.46,2.28
27.01,47.22,11.84
23.78,38.12,3.52
14.35,15.19,1.71
23.17,38.74,6.64
14.41,15.85,5.92
23.67,40.91,4.58
16.15,23.56,1.86
16.92,23.65,8.08
27.64,47.58,3.68
18.59,28.72,5.86
23.82,37.36,5.61
26.21,44.78,9.23
13.76,19.87,12.1
17.2,26.1,5.2
21.97,33.3,2.87
18.91,27.94,1.51
14.2,21.98,8.68
10.99,9.48,3.12
21.27,35.09,3.14
23.83,41.03,1.92
14.9,21.56,3.65
16.87,25.61,2.25
13.12,18.37,5.49
20,31.14,1.51
23.86,38.54,1.76
18.07,26.25,8.36
25.46,44.5,5.4
17.88,29.18,3.39
22.47,37.68,6.1
18.22,26.77,2.12
20.06,27.47,2.42
21.9,36.51,4.53
14.37,19.82,3.56
28.07,48.94,3.58
18.14,30.41,8.15
21.27,32.29,3.99
15.92,23.47,3.1
16.69,21.31,1.67
14.43,17.9,2.64
12.55,18.1,7.32
14.61,21.79,2.78
14.45,19.7,2.52
16.34,22.77,12.7
22.06,33.51,3.01
16.68,25.96,8.39
24.92,41.72,1.64
15.56,24.04,6
28.73,53.14,7.99
17.87,25.44,4.06
25.39,44.66,3.31
15.83,19.38,1.55
12.69,13.54,4.22
19.91,31.67,5.46
21.17,33.38,3.06
18.33,26.67,1.99
25.72,40.1,4.06
15.56,18.88,6.96
22.53,35.1,4.54
26.89,44.49,1.87
25.56,40.57,1.58
17.44,23.21,9.44
24.89,40.61,7.71
10.16,9.62,2.78
23.09,37.82,3.87
9.64,14.42,2.1
22.62,38.25,2.03
14.09,18.99,2.05
13.4,16.61,1.7
16.34,19.91,4.32
28.17,48.92,1.59
17.8,27.14,5.37
20.94,33.13,20.05
20.62,34.64,2.74
19.27,30.88,3.53
15.83,19.22,3.33
25.5,40.83,2.65
13.89,20.7,2.84
17.95,24.72,6.06
19.36,31.53,3.52
12.78,17.21,3.55
20.37,29.1,7.34
14.38,20.86,2.9
14.07,15.94,3.45
21.33,35.33,9.57
17.57,19.56,1.84
7.35,5.2,7.92
22.79,36.54,3.84
12.9,13.06,2.04
20.31,34.83,8.99
19.61,30.3,4.82
22.01,37.59,8.16
24.21,39.97,9.03
13,16.28,1.6
16.86,23.28,5
19.88,34.62,8.49
