price,duration,wait_time
15,21.72,3.25
11.32,13.48,4.18
16.7,24.75,4.94
21.86,32.7,5.03
25.74,46.66,2.1
16.38,23.63,1.58
18.21,26.61,5.24
19.32,32.95,7.5
17.79,27.81,4.17
12.01,10.45,6.24
22.18,34.48,3.04
19.35,30.52,7.01
13.65,19.67,5.09
23.5,39.58,4.9
23.86,38.32,13.25
19.23,31.99,4.9
6.92,4.98,5.61
25.39,40.97,1.96
23.92,36.6,4.42
26.16,44.96,2.4
24.97,45.86,10.93
27.89,49.86,5.82
19.66,26.33,4.31
21.5,32.51,4.12
22.66,38.57,4.01
25.35,40.97,1.77
20.01,34.17,1.7
25.6,41.54,2.63
14.27,17.53,4.26
18.74,24.99,3.33
13.81,18.22,4.87
16.37,24.36,1.62
17.41,24.38,4.35
22.48,34.12,2.05
20.84,34.44,1.64
23.15,40.26,4.82
19,29.95,1.66
12.96,15.49,1.56
17.38,27.2,2.63
13.49,20.02,12.33
28.69,47.25,3.78
25.15,45.13,8.04
19.49,30.99,5.12
19.49,28.39,6.94
18.79,30.92,2.87
13.62,17.66,3.24
12.56,14.33,4.02
16.36,26.05,3.27
18.88,28.69,1.69
25.01,41.39,2.89
15.63,20,9.05
19.93,28.52,7.19
12.04,11.93,2.2
11.74,13.75,4.33
22.16,38.34,2.43
20.78,33.21,2.31
14.33,15.16,8.42
21.73,34.49,2.41
11.38,12.84,2.3
18.54,28.52,2.58
21.59,34.45,7.28
18.89,29.96,2.56
25.27,41.93,3.64
25.1,43.2,7.38
13.76,19.23,3.28
26.35,46.57,3.05
20.2,32.55,2.01
18.49,31.08,6.14
22.53,35.99,2.81
23.86,42.28,2.89
25.79,44.29,1.53
16.21,24.9,3.63
13.03,16.12,2.3
20.9,31.95,3.33
25.57,41.33,2.23
18.3,29.61,2.95
25.25,39.36,1.97
17.96,20.35,11.58
20.88,32.91,2.19
17.94,24.25,1.61
19.25,27.32,2.49
16.03,22.13,1.54
22.59,36.87,4.59
16.53,27.94,6.73
17.92,25.5,1.72
20.48,29.4,10.95
27.51,46.51,6.23
15.35,20.43,2.12
18.05,24.16,17.61
11.26,9.72,12.4
17.72,22.97,2.37
20.75,32.2,8.91
20.61,29.46,6.27
12.54,15.09,1.74
21.25,32.13,9.26
17.72,26.37,3.73
22.45,34.61,1.53
22.11,38.71,3.04
24.06,40.35,2.17
11.77,13.47,2.08
