price,duration,wait_time
18.01,28.29,3.42
19.12,26.77,1.83
18.88,27.93,11.11
17.77,29.15,2.5
23.98,41.46,7.2
21.32,35.4,5.23
29.15,51.76,1.67
17,26.7,8.22
14.42,19.63,3.47
11.64,12.43,1.83
13.18,20.38,1.81
16.68,25.19,2.53
17.22,23.27,2.02
11.84,13.94,2.76
24.24,40.81,5.94
19.6,30.47,1.64
16.99,24.63,2.42
21.84,36.25,1.95
15.49,21.91,3.7
16.11,22.94,7.58
27.85,49.4,6.72
18.64,25.99,1.72
27.69,51.31,1.62
15.42,22.92,3.2
23.61,40.34,4.33
15.45,24.21,4.09
19.81,30.32,4.93
17.79,24.29,3.19
32.57,59.02,1.68
22.5,36.61,13.07
10.78,11.14,1.98
16.66,22.98,3.03
16.72,23.8,8.75
23.11,35.37,4.1
21.32,34.84,2.15
23.15,38.18,6.86
16.4,26.39,2.13
23.58,33.94,5.02
22.64,40.08,2.72
17.16,24.32,3.19
16.72,26.5,7.72
21.66,35.47,6.17
18.74,29.11,5.48
22.69,39.12,4.95
26.05,42.8,5.51
13.9,16.64,2.2
15.87,24.35,2.04
15.45,22.38,2.48
19.95,31.74,4.14
21.42,31.62,3.43
16.96,24.18,5.71
24.88,37.73,2.6
18.2,23.86,2.06
18.56,26.16,1.73
23.09,36.43,3.65
23.14,40.74,2.9
15.98,23.65,4.27
19.36,29.9,5.74
15.14,18.79,7
20.46,35.21,2.51
22.21,38.88,3.36
15.08,25.06,4.12
16.97,24.47,6.07
23.12,38.38,13.63
21.27,32.16,1.64
23.98,40.13,1.75
24.08,40.52,2.13
21.68,34.92,4.94
25.62,44.92,1.59
18.45,27.33,4.93
17.11,21.73,2
21.08,32.35,5.44
11.66,10.54,3.94
22.12,36.9,6.37
21.11,32.95,2.86
13.67,18.01,7.85
23.05,40.3,4.89
18.18,28.25,3.11
25.81,43.36,4.83
14.7,22.92,1.56
27.87,53.17,7.92
16.54,27.3,2.42
28.26,45.73,16.23
18.7,30.87,2.32
26.33,45.95,3.78
22.91,37.74,3.33
19.55,33.65,16.64
16.2,24.21,1.8
16.87,24.41,1.95
19.24,31.4,4.51
20.62,32.31,12.2
15.74,20.49,2.87
18.91,28.01,2.18
22.64,37.68,8.9
16.74,23.87,14.71
27.48,49.76,1.71
26.93,48.73,4.33
8.9,11.92,10.14
16.18,26.39,4.97
15.27,20.48,1.72
